"","ID","Cluster","D3","D5","D7","D9","D11","D13"
"1","3_CHOYP_14332.1.2.m.5643",1,87.46525,51.67795,48.27415,109.9708,111.02715,162.26925
"2","3_CHOYP_14332.2.2.m.61737",1,146.11925,170.54605,139.14475,102.87765,118.33735,128.35305
"3","3_CHOYP_1433E.1.2.m.3638",1,236.7332,238.4014,272.6247,245.37675,265.44475,297.57445
"4","3_CHOYP_1433G.2.2.m.63450",1,118.5597,115.08225,121.2016,168.5959,146.19165,137.1827
"5","3_CHOYP_1433G.2.2.m.63451",1,17.5098,24.2637,18.53145,16.37505,24.7571,33.152
"6","3_CHOYP_1433Z.1.1.m.17045",1,29.42765,31.57005,35.28615,37.5413,24.4596,43.27355
"7","3_CHOYP_2A5D.2.3.m.32240",3,0.1,6.0568,0.1,0.1,11.00355,0.1
"8","3_CHOYP_2A5D.3.3.m.37716",1,9.41845,8.4049,10.01635,8.36445,6.65295,10.09435
"9","3_CHOYP_2AAA.1.1.m.13306",1,56.65525,59.7722,62.86495,66.0077,68.3992,70.76645
"10","3_CHOYP_2AAA.1.1.m.13307",4,0.1,1.5075,0.1,0.1,1.73205,0.1
"11","3_CHOYP_3BP2.2.3.m.19302",4,1.28805,0.1,0.1,2.64845,0.1,0.1
"12","3_CHOYP_41.2.3.m.31169",3,0.1,0.1,0.1,1.3958,5.8347,0.1
"13","3_CHOYP_4EBP1.1.1.m.12045",1,21.63695,18.2088,30.6969,30.65,36.78965,34.7791
"14","3_CHOYP_4ET.1.1.m.1941",3,1.44245,1.4529,1.6066,1.53895,0.85525,1.04275
"15","3_CHOYP_5HTR.1.1.m.64867",3,0.1,0.1,1.3861,0.1,2.9112,0.1
"16","3_CHOYP_5NT3.1.1.m.24925",1,28.9379,27.3103,28.70305,21.2001,34.72765,34.90255
"17","3_CHOYP_A1CF.1.2.m.8145",1,8.2368,13.8433,13.60965,18.5738,8.26105,12.6121
"18","3_CHOYP_A2M.2.3.m.54214",4,0.1,0.71685,0.1,0.1,0.1,0.1
"19","3_CHOYP_A4.2.3.m.7550",3,0.6633,3.7159,1.30235,1.9791,0.1,1.7427
"20","3_CHOYP_A4.3.3.m.22262",3,4.2473,3.741,2.7827,4.5372,6.59385,3.6634
"21","3_CHOYP_AACS.1.1.m.66267",3,6.4069,5.61845,2.5299,3.4487,3.62805,6.6281
"22","3_CHOYP_AADAT.1.1.m.12672",1,5.0405,6.33765,6.6048,7.98635,12.8332,10.43185
"23","3_CHOYP_AAEL_AAEL000057.1.1.m.36013",4,0.1,0.1,0.1,1.1123,0.1,0.1
"24","3_CHOYP_AAEL_AAEL001424.1.1.m.40785",3,3.57015,3.5403,3.69785,0.1,3.9702,0.1
"25","3_CHOYP_AAEL_AAEL001503.1.1.m.10649",4,0.1,0.1,0.58935,0.1,0.6456,0.1
"26","3_CHOYP_AAEL_AAEL001706.1.1.m.43821",1,20.5274,15.4391,16.2009,5.4331,0.1,21.20695
"27","3_CHOYP_AAEL_AAEL002456.1.1.m.35591",3,0.1,5.00105,1.02535,2.90915,0.56845,1.24545
"28","3_CHOYP_AAEL_AAEL002467.1.2.m.47358",4,0.1,0.1,0.1,0.1,0.1,0.1
"29","3_CHOYP_AAEL_AAEL003539.1.1.m.16619",1,12.99095,9.82795,8.00355,10.4145,9.86895,4.4737
"30","3_CHOYP_AAEL_AAEL003853.1.2.m.39529",4,0.1,0.1,0.1,0.1,1.05045,0.1
