Annotation Cluster 1	Enrichment Score: 1.7758134833205568
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0007015~actin filament organization	6	42.857142857142854	5.632371333254234E-6	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	128	4697	18.34765625	0.0048209300462283	0.0048209300462283	0.008724836679607773
GOTERM_BP_FAT	GO:0007015~actin filament organization	6	42.857142857142854	5.964728111722436E-6	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	128	4642	18.1328125	0.004629821491568764	0.004629821491568764	0.009121944156376127
GOTERM_BP_ALL	GO:0030036~actin cytoskeleton organization	6	42.857142857142854	5.235508020335387E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	202	4697	11.626237623762377	0.04392778948130316	0.02221054898373087	0.08107329804873942
GOTERM_BP_FAT	GO:0030036~actin cytoskeleton organization	6	42.857142857142854	5.538997547670111E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	202	4642	11.490099009900991	0.04217921873519981	0.021316812617688696	0.08467876765598792
GOTERM_BP_ALL	GO:0030029~actin filament-based process	6	42.857142857142854	8.797289950019294E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	225	4697	10.437777777777777	0.07270549601672627	0.024847447413273716	0.13619333414676138
GOTERM_BP_FAT	GO:0030029~actin filament-based process	6	42.857142857142854	9.304360743275706E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	225	4642	10.315555555555555	0.06983314449717037	0.02384162031776904	0.14220440180262583
GOTERM_BP_ALL	GO:0007010~cytoskeleton organization	7	50.0	1.330058182373249E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	409	4697	6.699062754686227	0.10785498073540323	0.02812846169289762	0.2058429071117196
GOTERM_BP_FAT	GO:0007010~cytoskeleton organization	7	50.0	1.4208374622722984E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	409	4642	6.620619396903016	0.10465755015034839	0.027258837366741284	0.21707945167914744
GOTERM_BP_ALL	GO:0040011~locomotion	7	50.0	1.4242927170883595E-4	Q9NRC6, Q23551, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	414	4697	6.618156199677939	0.11504016456063226	0.024146302334138836	0.2204118172931646
GOTERM_BP_FAT	GO:0040011~locomotion	7	50.0	1.5214088560159397E-4	Q9NRC6, Q23551, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	414	4642	6.540660225442835	0.11163680305004198	0.023396870433952555	0.23242832285309545
GOTERM_BP_DIRECT	GO:0051693~actin filament capping	3	21.428571428571427	1.7793402206611842E-4	Q9NRC6, P13395, P02549	12	9	4697	130.47222222222223	0.024084359311755787	0.024084359311755787	0.2089465973183824
GOTERM_BP_ALL	GO:0032989~cellular component morphogenesis	7	50.0	2.3022648760127887E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	451	4697	6.075203252032521	0.17926669886641589	0.03239001225095628	0.35605306355867006
GOTERM_BP_FAT	GO:0032989~cellular component morphogenesis	7	50.0	2.4581034128031033E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	451	4642	6.004065040650406	0.17408544391503777	0.03137459970272616	0.37527758130376787
GOTERM_BP_ALL	GO:0030030~cell projection organization	7	50.0	3.2205663466222553E-4	Q9NRC6, P13395, P21333, Q2PZL6, Q8TE73, P02549, Q9VEN1	12	479	4697	5.7200765483646485	0.24146709402909927	0.038712069843277574	0.4977403695380245
GOTERM_BP_DIRECT	GO:0007009~plasma membrane organization	3	21.428571428571427	3.249633235087083E-4	P13395, Q2PZL6, P02549	12	12	4697	97.85416666666667	0.04355042579642465	0.022017600258790293	0.3813005256698254
GOTERM_BP_FAT	GO:0030030~cell projection organization	7	50.0	3.4373411038260854E-4	Q9NRC6, P13395, P21333, Q2PZL6, Q8TE73, P02549, Q9VEN1	12	479	4642	5.653096729297148	0.23468755980765	0.03748936022450633	0.5244104227771551
GOTERM_BP_ALL	GO:0006928~movement of cell or subcellular component	7	50.0	3.451071538150631E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	485	4697	5.649312714776633	0.25632639486295883	0.03634229998214544	0.5332760584526253
GOTERM_BP_FAT	GO:0006928~movement of cell or subcellular component	7	50.0	3.6830790637365756E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	485	4642	5.583161512027491	0.2491852526241619	0.035190437358258664	0.5618022811618384
GOTERM_BP_ALL	GO:0048858~cell projection morphogenesis	6	42.857142857142854	3.9632281038033326E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	309	4697	7.60032362459547	0.28830965644229334	0.037085122040313445	0.6121898669161463
GOTERM_BP_FAT	GO:0048858~cell projection morphogenesis	6	42.857142857142854	4.186842140525168E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	309	4642	7.511326860841423	0.27805370600146784	0.03555310049736815	0.6384145668520969
GOTERM_BP_ALL	GO:0032990~cell part morphogenesis	6	42.857142857142854	4.401580857558119E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	316	4697	7.431962025316456	0.31459047734612733	0.03706934354026059	0.6796853607720532
GOTERM_BP_FAT	GO:0032990~cell part morphogenesis	6	42.857142857142854	4.649475281356312E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	316	4642	7.34493670886076	0.30358762097577985	0.03553460845002443	0.7087232145115752
GOTERM_BP_ALL	GO:0051693~actin filament capping	3	21.428571428571427	5.878279399817248E-4	Q9NRC6, P13395, P02549	12	16	4697	73.390625	0.3961954149042952	0.04482820127527365	0.9067450629663298
GOTERM_BP_ALL	GO:0007411~axon guidance	4	28.57142857142857	5.885741836580576E-4	Q9NRC6, P13395, P02549, Q9VEN1	12	75	4697	20.875555555555554	0.3965821207856606	0.04122173294124054	0.9078912659219118
GOTERM_BP_FAT	GO:0051693~actin filament capping	3	21.428571428571427	6.017137675132532E-4	Q9NRC6, P13395, P02549	12	16	4642	72.53125	0.3739181770134996	0.041676986133545646	0.9163018208631857
GOTERM_BP_FAT	GO:0007411~axon guidance	4	28.57142857142857	6.0907874984759E-4	Q9NRC6, P13395, P02549, Q9VEN1	12	75	4642	20.63111111111111	0.3774975008975465	0.03873065769963768	0.927468594535874
GOTERM_BP_ALL	GO:0097485~neuron projection guidance	4	28.57142857142857	6.11974193189652E-4	Q9NRC6, P13395, P02549, Q9VEN1	12	76	4697	20.600877192982455	0.408583391833804	0.03959735512165252	0.9438265324006045
GOTERM_BP_ALL	GO:0009653~anatomical structure morphogenesis	8	57.14285714285714	6.141660766359645E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q2PZL6, Q8TE73, P02549, Q9VEN1	12	782	4697	4.004262574595055	0.409695267009619	0.036951177293530146	0.9471919713060828
GOTERM_BP_FAT	GO:0097485~neuron projection guidance	4	28.57142857142857	6.332842365654306E-4	Q9NRC6, P13395, P02549, Q9VEN1	12	76	4642	20.359649122807017	0.3891178445250031	0.03720198188649271	0.9641606275574532
GOTERM_BP_ALL	GO:0030835~negative regulation of actin filament depolymerization	3	21.428571428571427	7.47566270197069E-4	Q9NRC6, P13395, P02549	12	18	4697	65.23611111111111	0.473577800899908	0.041874762894477224	1.1518146809203045
GOTERM_BP_FAT	GO:0030835~negative regulation of actin filament depolymerization	3	21.428571428571427	7.652022669386923E-4	Q9NRC6, P13395, P02549	12	18	4642	64.47222222222223	0.4487436058173443	0.04164754437178331	1.1639062484247842
GOTERM_BP_ALL	GO:0010256~endomembrane system organization	5	35.714285714285715	8.474138613327048E-4	Q9NRC6, P13395, P21333, Q2PZL6, P02549	12	201	4697	9.736733001658376	0.516831264015616	0.044443927921481774	1.3047121965018338
GOTERM_BP_FAT	GO:0010256~endomembrane system organization	5	35.714285714285715	8.857702189732289E-4	Q9NRC6, P13395, P21333, Q2PZL6, P02549	12	201	4642	9.622719734660032	0.4981402675591786	0.04492203942074502	1.3461365962228133
GOTERM_BP_ALL	GO:0030834~regulation of actin filament depolymerization	3	21.428571428571427	9.259790500026913E-4	Q9NRC6, P13395, P02549	12	20	4697	58.7125	0.5483546778540187	0.04568011870341593	1.4248642213335438
GOTERM_BP_ALL	GO:0030837~negative regulation of actin filament polymerization	3	21.428571428571427	9.259790500026913E-4	Q9NRC6, P13395, P02549	12	20	4697	58.7125	0.5483546778540187	0.04568011870341593	1.4248642213335438
GOTERM_BP_ALL	GO:0048468~cell development	7	50.0	9.399764390773475E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q2PZL6, P02549, Q9VEN1	12	582	4697	4.707760595647193	0.5537513931612037	0.043836748057271446	1.4462564689239676
GOTERM_BP_FAT	GO:0030837~negative regulation of actin filament polymerization	3	21.428571428571427	9.477952705211356E-4	Q9NRC6, P13395, P02549	12	20	4642	58.025	0.5218039032157171	0.0450615579293423	1.4397609170255343
GOTERM_BP_FAT	GO:0030834~regulation of actin filament depolymerization	3	21.428571428571427	9.477952705211356E-4	Q9NRC6, P13395, P02549	12	20	4642	58.025	0.5218039032157171	0.0450615579293423	1.4397609170255343
GOTERM_BP_FAT	GO:0048468~cell development	7	50.0	0.0010019032884168687	Q9NRC6, Q8WZ42, P13395, P21333, Q2PZL6, P02549, Q9VEN1	12	582	4642	4.652634593356243	0.5415350804568009	0.044838453539700396	1.5213669687463738
GOTERM_BP_ALL	GO:1902589~single-organism organelle organization	7	50.0	0.001031120822269075	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	592	4697	4.628237612612613	0.5873510702071164	0.04551873895867575	1.5854465065130996
GOTERM_BP_ALL	GO:0043623~cellular protein complex assembly	5	35.714285714285715	0.0010548344739561713	Q9NRC6, Q8WZ42, P13395, Q8TE73, P02549	12	213	4697	9.188184663536777	0.5956707074701885	0.04426660717736264	1.621630363532267
GOTERM_BP_FAT	GO:1902589~single-organism organelle organization	7	50.0	0.0010989066365342684	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	592	4642	4.574042792792794	0.574895161823971	0.046411749039193984	1.6675099573347674
