"","clust.class","Freq"
"1","1",14381
"2","2",3
"3","3",1
"4","4",1
"5","5",1
"6","6",1
"7","7",1
"8","8",1
"9","9",4
"10","10",1
"11","11",1
"12","12",40
"13","13",2
"14","14",4
"15","15",19
"16","16",2
"17","17",13
"18","18",2
"19","19",1
"20","20",6
"21","21",1
"22","22",1
"23","23",2
"24","24",1
"25","25",3
"26","26",1
"27","27",1
"28","28",1
"29","29",1
"30","30",1
"31","31",1
"32","32",1
"33","33",1
"34","34",1
"35","35",1
"36","36",1
"37","37",1
"38","38",1
"39","39",1
"40","40",1
"41","41",2
