"clust.class","Freq"
"1",236
"2",2298
"3",88
"4",127
"5",1926
"6",257
"7",643
"8",1987
"9",608
"10",521
"11",191
"12",119
"13",2437
"14",535
"15",141
"16",297
"17",1024
"18",86
"19",529
"20",189
"21",167
"22",552
"23",94
"24",13
"25",154
"26",82
"27",115
"28",74
"29",85
"30",28
"31",60
"32",41
"33",124
"34",7
"35",10
"36",11
"37",33
"38",3
"39",15
"40",17
"41",3
"42",4
"43",4
"44",1
"45",1
"46",1
"47",1
"48",2
"49",3
"50",4
"51",3
"52",2
"53",2
"54",1
