"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
1,"3","CHOYP_14332.2.2.m.61737",103.18375,146.11925,170.54605,139.14475,102.87765,118.33735,128.35305
8,"3","CHOYP_1433G.2.2.m.63451",20.43715,17.5098,24.2637,18.53145,16.37505,24.7571,33.152
32,"3","CHOYP_2A5D.2.3.m.32240",6.1747,0.1,6.0568,0.1,0.1,11.00355,0.1
8,"3","CHOYP_2A5D.3.3.m.37716",4.3836,9.41845,8.4049,10.01635,8.36445,6.65295,10.09435
10,"3","CHOYP_2AAA.1.1.m.13307",0.1,0.1,1.5075,0.1,0.1,1.73205,0.1
9,"3","CHOYP_3BP2.2.3.m.19302",2.6199,1.28805,0.1,0.1,2.64845,0.1,0.1
15,"3","CHOYP_41.2.3.m.31169",0.1,0.1,0.1,0.1,1.3958,5.8347,0.1
21,"3","CHOYP_5HTR.1.1.m.64867",0.1,0.1,0.1,1.3861,0.1,2.9112,0.1
5,"3","CHOYP_5NT3.1.1.m.24925",35.6715,28.9379,27.3103,28.70305,21.2001,34.72765,34.90255
9,"3","CHOYP_A2M.2.3.m.54214",2.51665,0.1,0.71685,0.1,0.1,0.1,0.1
22,"3","CHOYP_A4.2.3.m.7550",5.11165,0.6633,3.7159,1.30235,1.9791,0.1,1.7427
17,"3","CHOYP_AAEL_AAEL001424.1.1.m.40785",3.70335,3.57015,3.5403,3.69785,0.1,3.9702,0.1
7,"3","CHOYP_AAEL_AAEL001503.1.1.m.10649",1.13035,0.1,0.1,0.58935,0.1,0.6456,0.1
23,"3","CHOYP_AAEL_AAEL002456.1.1.m.35591",0.1,0.1,5.00105,1.02535,2.90915,0.56845,1.24545
13,"3","CHOYP_AAEL_AAEL002467.1.2.m.47358",0.1,0.1,0.1,0.1,0.1,0.1,0.1
10,"3","CHOYP_AAEL_AAEL003853.1.2.m.39529",0.1,0.1,0.1,0.1,0.1,1.05045,0.1
25,"3","CHOYP_AAEL_AAEL004399.1.1.m.3003",0.7424,0.1,0.7291,0.1,1.42,0.1,1.83405
13,"3","CHOYP_AAEL_AAEL004839.1.1.m.13815",1.57585,1.51835,0.1,0.1,0.1,0.1,0.1
13,"3","CHOYP_AAEL_AAEL006988.1.1.m.49733",0.1,0.1,0.1,0.1,0.1,0.1,0.1
21,"3","CHOYP_AAEL_AAEL007437.1.1.m.29443",0.1,0.1,0.1,3.95475,4.1274,0.1,0.1
18,"3","CHOYP_AAEL_AAEL007549.1.1.m.13827",0.1,2.8519,0.1,0.1,0.1,0.1,0.1
20,"3","CHOYP_AAEL_AAEL008069.2.2.m.60921",0.1,0.1,0.1,0.1,2.9163,0.1,0.1
8,"3","CHOYP_AAEL_AAEL009387.1.1.m.66163",19.06415,28.57865,22.613,20.55395,21.84835,23.1003,23.90395
17,"3","CHOYP_AAEL_AAEL010339.1.1.m.63259",5.3136,2.58585,2.63115,0.1,0.1,2.95175,0.1
13,"3","CHOYP_AAEL_AAEL010626.1.1.m.52019",0.1,0.1,0.1,0.1,0.1,0.1,0.1
14,"3","CHOYP_AAEL_AAEL010939.1.1.m.64870",8.9979,5.4383,0.1,0.1,0.1,2.52885,0.1
2,"3","CHOYP_AAEL_AAEL011273.1.1.m.12717",1.06705,1.95495,2.9666,4.1014,1.11045,3.3041,2.69395
2,"3","CHOYP_AAEL_AAEL012012.1.1.m.11873",0.1,0.1,3.37035,3.5436,3.57,5.65525,4.61095
13,"3","CHOYP_AAEL_AAEL013229.2.2.m.57593",0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,"3","CHOYP_AAEL_AAEL014931.1.1.m.24932",0.66255,0.6432,3.56025,1.2532,3.7877,1.3394,3.2632
17,"3","CHOYP_AAEL_AAEL015271.1.1.m.56223",2.8832,5.44605,0.1,0.1,0.1,3.17385,0.1
10,"3","CHOYP_AAK1.1.1.m.14769",0.1,0.9987,0.1,0.1,0.1,1.1065,0.1
15,"3","CHOYP_AAKG2.1.1.m.55638",0.9174,0.88575,0.88285,0.1,3.5456,4.7544,2.3091
7,"3","CHOYP_AASI_1435.35.35.m.65339",0.1,0.3315,0.1,0.3432,0.34605,0.6389,0.1
7,"3","CHOYP_AATF.1.1.m.34004",0.1,0.1,1.8537,0.1,1.9635,0.1,0.1
13,"3","CHOYP_ABCG8.1.1.m.3707",0.1,0.1,0.1,0.1,0.1,0.1,0.1
7,"3","CHOYP_ABL1.1.1.m.55647",0.4883,1.68495,1.2673,0.8922,0.96395,0.9906,1.78945
13,"3","CHOYP_ACA1_394750.1.2.m.54181",0.1,0.1,0.1,0.1,1.45875,0.1,0.1
13,"3","CHOYP_ACAC.2.2.m.58115",0.1,0.1,0.1,0.1,0.1,0.1,0.1
8,"3","CHOYP_ACAD8.1.1.m.9135",22.1015,10.01645,6.293,6.6087,9.33415,12.7044,5.17725
33,"3","CHOYP_ACDOPBH.8.9.m.52946",0.1,0.1,0.1,4.03945,0.1,0.1,0.1
13,"3","CHOYP_ACDOPBH.9.9.m.63296",0.1,0.1,0.1,0.1,0.1,0.1,0.1
13,"3","CHOYP_ACE.2.4.m.5302",0.1,0.1,0.1,0.2882,0.1,0.49965,0.3538
20,"3","CHOYP_ACH5.1.1.m.3951",0.1,0.1,0.1,0.1,2.0784,0.1,0.1
20,"3","CHOYP_ACH7.2.2.m.66217",0.1,1.04505,1.068,0.1,1.13225,0.1,0.1
10,"3","CHOYP_ACLA_093460.1.1.m.41459",0.1,0.1,0.1,0.1,0.1,1.5662,0.1
17,"3","CHOYP_ACOX1.3.3.m.26948",2.4856,0.851,0.1,1.7101,0.8881,1.80865,3.3017
2,"3","CHOYP_ACOX3.1.1.m.60111",2.29335,1.5206,0.78275,3.9182,2.3727,1.74135,5.0779
8,"3","CHOYP_ACSL1.1.1.m.686",19.6032,23.30975,27.95505,23.5461,17.81705,22.67385,6.116
45,"3","CHOYP_ACT.5.27.m.15585",0.1,563.3507,0.1,0.1,0.1,0.1,0.1
46,"3","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,334.28085,0.1,0.1,425.9015
26,"3","CHOYP_ACT1.3.7.m.25836",0.1,3.9764,5.30075,0.1,2.8259,0.1,0.1
31,"3","CHOYP_ACT1.4.7.m.29125",6.6526,3.26035,3.3177,2.3538,5.64845,4.817,25.0068
