"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
4,"3","CHOYP_3BP2.2.3.m.19302",1.28805,0.1,0.1,2.64845,0.1,0.1
4,"3","CHOYP_AAEL_AAEL002467.1.2.m.47358",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_AAEL_AAEL004399.1.1.m.3003",0.1,0.7291,0.1,1.42,0.1,1.83405
4,"3","CHOYP_AAEL_AAEL006988.1.1.m.49733",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_AAEL_AAEL007437.1.1.m.29443",0.1,0.1,3.95475,4.1274,0.1,0.1
3,"3","CHOYP_AAEL_AAEL007787.1.1.m.13188",0.1,1.74535,1.83505,2.7576,0.1,0.1
5,"3","CHOYP_AAEL_AAEL008069.2.2.m.60921",0.1,0.1,0.1,2.9163,0.1,0.1
4,"3","CHOYP_AAEL_AAEL010939.1.1.m.64870",5.4383,0.1,0.1,0.1,2.52885,0.1
1,"3","CHOYP_AAEL_AAEL011391.1.1.m.10090",2.68575,9.25115,4.15,5.61005,4.5742,9.0592
4,"3","CHOYP_AAEL_AAEL013229.2.2.m.57593",0.1,0.1,0.1,0.1,0.1,0.1
4,"3","CHOYP_AAEL_AAEL015271.1.1.m.56223",5.44605,0.1,0.1,0.1,3.17385,0.1
4,"3","CHOYP_AAK1.1.1.m.14769",0.9987,0.1,0.1,0.1,1.1065,0.1
5,"3","CHOYP_ACA1_394750.1.2.m.54181",0.1,0.1,0.1,1.45875,0.1,0.1
4,"3","CHOYP_ACBD5.1.2.m.16744",0.1,0.9647,0.1,0.1,0.1,0.1
3,"3","CHOYP_ACDOPBH.8.9.m.52946",0.1,0.1,4.03945,0.1,0.1,0.1
5,"3","CHOYP_ACH5.1.1.m.3951",0.1,0.1,0.1,2.0784,0.1,0.1
1,"3","CHOYP_ACO13.1.1.m.30659",3.316,0.1,3.4517,3.48465,0.1,9.0239
3,"3","CHOYP_ACOX1.3.3.m.26948",0.851,0.1,1.7101,0.8881,1.80865,3.3017
3,"3","CHOYP_ACSS3.1.1.m.64144",3.9263,5.5649,9.19045,5.93205,0.9263,4.32615
9,"3","CHOYP_ACT.5.27.m.15585",563.3507,0.1,0.1,0.1,0.1,0.1
10,"3","CHOYP_ACT.6.27.m.15622",0.1,0.1,334.28085,0.1,0.1,425.9015
4,"3","CHOYP_ACT3A.1.1.m.25941",2.27745,2.26975,0.1,0.1,0.1,0.1
2,"3","CHOYP_ACTP1.1.1.m.30455",0.1,0.1,0.1,0.1,0.1,5.7682
3,"3","CHOYP_ADA17.1.3.m.798",4.84605,4.9565,0.1,10.1373,5.41825,6.683
2,"3","CHOYP_ADA17.3.3.m.54971",0.1,0.1,3.0882,3.22255,0.1,6.04255
4,"3","CHOYP_ADAMTS12.1.2.m.29930",5.42525,1.0208,0.4025,0.4059,0.1,0.1
3,"3","CHOYP_AGAP_AGAP002199.1.1.m.25337",2.1539,2.1771,3.0388,0.8025,0.1,0.1
4,"3","CHOYP_AGAP_AGAP004861.2.2.m.54567",0.1,1.9345,0.1,0.1,0.1,0.1
4,"3","CHOYP_AGAP_AGAP007340.1.2.m.2953",1.04695,0.1,0.1,1.13425,0.1,0.1
3,"3","CHOYP_AGAP_AGAP007368.1.1.m.8474",0.1,0.1,1.31015,0.1,0.1,1.7233
2,"3","CHOYP_AGAP_AGAP010186.1.1.m.62505",0.1,0.1,0.1,0.1,0.1,6.12135
5,"3","CHOYP_AGAP_AGAP013102.1.1.m.50186",0.1,0.1,0.1,3.64625,0.1,0.1
4,"3","CHOYP_AGSA.1.1.m.5200",0.1,0.1,0.1,0.1,0.1,0.1
4,"3","CHOYP_AJL2.1.1.m.26431",0.1,0.1,0.1,0.1,0.1,0.1
6,"3","CHOYP_AKD1.2.3.m.49697",14.2801,0.1,0.1,0.1,2.2142,0.1
