"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
19,"3","CHOYP_14332.1.2.m.5643",98.67095,87.46525,51.67795,48.27415,109.9708,111.02715,162.26925
1,"3","CHOYP_14332.2.2.m.61737",103.18375,146.11925,170.54605,139.14475,102.87765,118.33735,128.35305
4,"3","CHOYP_2AAA.1.1.m.13306",60.4283,56.65525,59.7722,62.86495,66.0077,68.3992,70.76645
2,"3","CHOYP_4EBP1.1.1.m.12045",26.18955,21.63695,18.2088,30.6969,30.65,36.78965,34.7791
4,"3","CHOYP_AAEL_AAEL007173.1.1.m.41471",42.0481,44.7863,45.8163,0.1,38.9739,78.5785,92.68275
2,"3","CHOYP_ABCE1.1.2.m.7437",29.87955,27.03665,7.00405,37.98815,8.35815,51.19255,39.65505
53,"3","CHOYP_ABCF2.1.2.m.28362",381.0581,288.97795,407.59395,396.1436,435.95605,311.6036,459.05795
2,"3","CHOYP_ACSA.1.1.m.61294",28.16145,24.1149,28.08355,31.9631,30.5079,34.85425,32.2006
51,"3","CHOYP_ACT.23.27.m.58454",234.6437,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735
46,"3","CHOYP_ACT.5.27.m.15585",0.1,563.3507,0.1,0.1,0.1,0.1,0.1
48,"3","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,334.28085,0.1,0.1,425.9015
50,"3","CHOYP_ACT3.3.3.m.66907",325.8941,174.55785,303.09585,180.14175,225.2547,275.60495,375.32195
3,"3","CHOYP_ACT3A.1.1.m.25943",54.5923,60.1365,45.42865,63.8368,72.1798,72.37645,88.0521
2,"3","CHOYP_ACT5.3.3.m.41147",0.1,20.47925,0.1,20.317,25.32515,18.8812,19.9497
4,"3","CHOYP_ACTC.3.6.m.21571",12.4128,8.9775,27.2624,36.38405,48.2794,40.47215,0.1
2,"3","CHOYP_ACTZ.1.1.m.12877",29.31525,22.59095,25.59865,23.981,28.69755,33.66815,31.13435
4,"3","CHOYP_ADD.2.5.m.15081",40.4882,54.35015,52.62515,26.1089,21.976,27.22665,0.1
2,"3","CHOYP_AGAP_AGAP002350.1.1.m.37287",10.0107,14.37205,19.2219,22.76305,25.53445,37.99745,56.06175
2,"3","CHOYP_AL4A1.1.1.m.28988",44.77595,41.25695,29.2754,24.7769,25.91815,28.6211,27.1502
4,"3","CHOYP_ARPC2.1.1.m.50573",53.82485,45.1604,53.70485,47.8054,48.2853,49.23485,71.47735
7,"3","CHOYP_ATPA.1.1.m.50245",138.92115,146.56745,153.8751,155.1568,156.2839,172.8784,134.63235
8,"3","CHOYP_ATPB.1.1.m.21960",228.9379,242.47065,226.10965,249.1503,261.6795,246.55255,212.2842
2,"3","CHOYP_BRAFLDRAFT_100695.1.1.m.47761",58.04665,50.10535,15.27395,24.68165,18.8372,9.25045,0.1
21,"3","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",421.346,273.6752,321.98585,333.60405,341.1687,320.24755,446.31735
2,"3","CHOYP_BRAFLDRAFT_115687.1.1.m.4876",25.3098,21.517,26.01155,27.3489,23.03765,34.16705,29.6529
2,"3","CHOYP_BRAFLDRAFT_120058.1.1.m.9895",64.25925,47.19385,14.889,15.67285,25.16765,3.43275,4.10875
23,"3","CHOYP_BRAFLDRAFT_121562.1.1.m.37268",74.2668,69.41495,104.7203,80.28515,187.938,132.4682,107.6329
4,"3","CHOYP_BRAFLDRAFT_122389.1.1.m.15498",21.9374,21.1237,31.935,50.68405,53.51175,20.97385,21.85305
4,"3","CHOYP_BRAFLDRAFT_124972.2.5.m.4101",47.8737,48.00625,40.9225,37.12195,33.5283,22.964,38.1748
1,"3","CHOYP_BRAFLDRAFT_125880.1.3.m.7081",91.68575,134.3781,150.779,146.5397,130.8136,108.5873,95.23765
20,"3","CHOYP_BRAFLDRAFT_127065.6.7.m.30727",332.54005,542.66385,314.21385,114.6228,78.76765,71.96685,66.4537
3,"3","CHOYP_BRAFLDRAFT_130809.1.1.m.5127",72.59215,95.73725,77.9039,77.96,110.0887,149.7507,111.59615
4,"3","CHOYP_BRAFLDRAFT_201924.1.1.m.30855",77.79885,48.20825,3.5958,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_204736.2.2.m.63327",65.56065,39.43645,64.6181,62.9981,65.4556,51.7511,78.2177
4,"3","CHOYP_BRAFLDRAFT_208436.4.32.m.22689",65.48135,42.2917,52.40455,0.1,62.66415,70.61395,53.2141
2,"3","CHOYP_BRAFLDRAFT_246978.1.1.m.6916",60.3898,34.2296,31.059,32.67705,11.1845,11.66935,9.42875
2,"3","CHOYP_BRAFLDRAFT_259692.1.1.m.44099",35.13875,25.8069,27.63075,32.47645,32.7146,25.54995,37.77465
4,"3","CHOYP_BRAFLDRAFT_266781.1.2.m.24880",61.06805,55.7935,69.54965,59.1611,68.32775,66.64005,60.1236
4,"3","CHOYP_BRAFLDRAFT_281651.5.8.m.25278",61.83815,63.14915,17.8956,0.1,0.1,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_74063.1.5.m.2740",37.256,39.01795,47.1555,57.8745,53.27895,77.62115,68.8137
4,"3","CHOYP_BRAFLDRAFT_90332.3.4.m.18933",4.41945,5.1073,30.79795,45.0383,44.42365,35.634,23.4566
