"clust.class","Freq"
"1",84
"2",15224
"3",519
"4",37
"5",9
"6",3
"7",7
"8",1
"9",1
"10",1
"11",1
"12",3
"13",3
"14",3
"15",1
"16",1
"17",1
"18",1
"19",2
"20",1
"21",1
"22",1
"23",1
"24",2
"25",1
"26",1
"27",1
"28",1
"29",1
"30",2
"31",3
"32",3
"33",1
"34",1
"35",1
"36",1
"37",1
"38",2
"39",2
"40",2
"41",2
"42",1
"43",2
"44",1
"45",1
"46",1
"47",1
"48",2
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
