"ID","Cluster","Silo","D0","D3","D5","D7","D9","D11","D13","Gene.names"
"CHOYP_14332.1.2.m.5643",1,"9",98.67095,132.3968,149.3615,136.29685,154.2391,58.72215,175.0944,"14-3-3zeta"
"CHOYP_14332.1.2.m.5643",1,"3",98.67095,87.46525,51.67795,48.27415,109.9708,111.02715,162.26925,"14-3-3zeta"
"CHOYP_14332.2.2.m.61737",1,"9",103.18375,107.2649,62.66285,61.34945,51.14335,205.9016,34.8846,"YWHAB"
"CHOYP_14332.2.2.m.61737",1,"3",103.18375,146.11925,170.54605,139.14475,102.87765,118.33735,128.35305,"YWHAB"
"CHOYP_1433E.1.2.m.3638",2,"3",245.6752,236.7332,238.4014,272.6247,245.37675,265.44475,297.57445,"YWHAE"
"CHOYP_1433E.1.2.m.3638",2,"9",245.6752,247.78985,267.57635,250.9244,241.5127,254.24655,268.6938,"YWHAE"
"CHOYP_1433G.2.2.m.63450",1,"9",120.9007,116.2867,144.9125,149.3817,141.78035,152.6035,138.2903,"None"
"CHOYP_1433G.2.2.m.63450",1,"3",120.9007,118.5597,115.08225,121.2016,168.5959,146.19165,137.1827,"None"
"CHOYP_1433G.2.2.m.63451",1,"9",20.43715,23.10925,14.96635,11.01225,28.79255,17.5381,29.4106,"RBM4 QtsA-10585"
"CHOYP_1433G.2.2.m.63451",1,"3",20.43715,17.5098,24.2637,18.53145,16.37505,24.7571,33.152,"RBM4 QtsA-10585"
"CHOYP_1433Z.1.1.m.17045",1,"9",30.5419,28.99405,33.5336,51.87485,23.6807,31.46545,38.57015,"None"
"CHOYP_1433Z.1.1.m.17045",1,"3",30.5419,29.42765,31.57005,35.28615,37.5413,24.4596,43.27355,"None"
"CHOYP_2A5D.2.3.m.32240",1,"3",6.1747,0.1,6.0568,0.1,0.1,11.00355,0.1,"PPP2R5E"
"CHOYP_2A5D.2.3.m.32240",1,"9",6.1747,0.1,0.1,2.5318,0.1,0.1,0.1,"PPP2R5E"
"CHOYP_2A5D.3.3.m.37716",1,"9",4.3836,10.4958,11.95035,3.28965,10.3357,8.9837,14.07095,"PPP2R5D"
"CHOYP_2A5D.3.3.m.37716",1,"3",4.3836,9.41845,8.4049,10.01635,8.36445,6.65295,10.09435,"PPP2R5D"
"CHOYP_2AAA.1.1.m.13306",1,"3",60.4283,56.65525,59.7722,62.86495,66.0077,68.3992,70.76645,"PPP2R1A"
"CHOYP_2AAA.1.1.m.13306",1,"9",60.4283,71.56105,68.2876,72.6359,74.9676,75.74755,72.25215,"PPP2R1A"
"CHOYP_2AAA.1.1.m.13307",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"None"
"CHOYP_2AAA.1.1.m.13307",1,"3",0.1,0.1,1.5075,0.1,0.1,1.73205,0.1,"None"
"CHOYP_3BP2.2.3.m.19302",1,"3",2.6199,1.28805,0.1,0.1,2.64845,0.1,0.1,"Sh3bp2 3bp2"
"CHOYP_3BP2.2.3.m.19302",1,"9",2.6199,0.1,0.1,1.6199,0.1,0.1,1.34905,"Sh3bp2 3bp2"
"CHOYP_41.2.3.m.31169",1,"3",0.1,0.1,0.1,0.1,1.3958,5.8347,0.1,"Epb41l3 Dal1 Epb4.1l3 Kiaa0987"
"CHOYP_41.2.3.m.31169",1,"9",0.1,4.96325,2.45495,0.1,2.85885,0.1,0.1,"Epb41l3 Dal1 Epb4.1l3 Kiaa0987"
"CHOYP_4EBP1.1.1.m.12045",1,"3",26.18955,21.63695,18.2088,30.6969,30.65,36.78965,34.7791,"EIF4EBP1"
"CHOYP_4EBP1.1.1.m.12045",1,"9",26.18955,30.4618,37.06785,36.31055,47.4688,24.7502,29.86395,"EIF4EBP1"
"CHOYP_4ET.1.1.m.1941",1,"3",2.9904,1.44245,1.4529,1.6066,1.53895,0.85525,1.04275,"EIF4ENIF1"
"CHOYP_4ET.1.1.m.1941",1,"9",2.9904,2.2868,2.5513,1.81555,0.1,0.1,2.23155,"EIF4ENIF1"
