"","ID","Cluster","Silo","D3","D5","D7","D9","D11","D13","Entry"
"1","CHOYP_ACT.23.27.m.58454",2,"3",134.8912,110.9911,196.87485,99.3946,249.49095,264.21735,"P86700"
"2","CHOYP_ACT.23.27.m.58454",20,"9",0.1,102.60505,250.12515,115.95735,261.9099,0.1,"P86700"
"3","CHOYP_ACT.5.27.m.15585",13,"3",563.3507,0.1,0.1,0.1,0.1,0.1,"None"
"4","CHOYP_ACT.5.27.m.15585",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,"None"
"5","CHOYP_ACT.6.27.m.15622",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,"Q39596"
"6","CHOYP_ACT.6.27.m.15622",14,"3",0.1,0.1,334.28085,0.1,0.1,425.9015,"Q39596"
"7","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",7,"9",370.8376,436.9669,332.88915,300.30495,281.96875,292.66465,"None"
"8","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",3,"3",273.6752,321.98585,333.60405,341.1687,320.24755,446.31735,"None"
"9","CHOYP_BRAFLDRAFT_127065.6.7.m.30727",5,"3",542.66385,314.21385,114.6228,78.76765,71.96685,66.4537,"Q62009"
"10","CHOYP_BRAFLDRAFT_127065.6.7.m.30727",13,"9",503.55835,129.41815,60.6951,37.78655,49.17855,28.594,"Q62009"
"11","CHOYP_contig_041958.m.48141",2,"3",125.73595,288.43815,334.24525,248.58245,288.91665,225.8463,"None"
"12","CHOYP_contig_041958.m.48141",3,"9",173.0308,330.16185,417.46555,296.95655,287.7274,418.39595,"None"
"13","CHOYP_EF1A.2.4.m.50858",21,"9",739.42795,731.18665,710.73345,784.8577,746.1566,708.48805,"Q92005"
"14","CHOYP_EF1A.2.4.m.50858",6,"3",592.91925,671.2199,625.9092,638.5678,813.5562,814.2211,"Q92005"
"15","CHOYP_EIF5A.1.3.m.22684",2,"9",311.9791,287.03825,194.38305,305.7476,245.66555,292.33845,"P10160"
"16","CHOYP_EIF5A.1.3.m.22684",7,"3",352.3577,380.49725,273.24535,269.13555,363.8985,240.5233,"P10160"
"17","CHOYP_ENO.1.2.m.7681",2,"9",148.02745,182.30925,208.96075,184.8943,208.1377,194.5305,"P86210"
"18","CHOYP_ENO.1.2.m.7681",1,"3",168.42915,156.00445,141.5826,161.44515,205.88405,186.4109,"P86210"
"19","CHOYP_HSP7D.2.3.m.34782",1,"3",126.9403,171.74285,117.95255,168.5778,207.90135,160.4684,"Q9U639"
"20","CHOYP_HSP7D.2.3.m.34782",2,"9",146.89205,182.0329,199.51815,201.44025,175.804,206.88285,"Q9U639"
"21","CHOYP_KARG.2.11.m.2196",8,"9",343.2885,372.35145,414.0703,382.3525,437.23165,451.4212,"Q9NH48"
