"","Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
"175",11,"3","CHOYP_ATPA.1.1.m.50245",146.56745,153.8751,155.1568,156.2839,172.8784,134.63235
"176",4,"3","CHOYP_ATPB.1.1.m.21960",242.47065,226.10965,249.1503,261.6795,246.55255,212.2842
"248",6,"3","CHOYP_BRAFLDRAFT_115608.1.1.m.25984",305.804,329.709,350.14205,340.62725,376.97315,387.13295
"546",9,"3","CHOYP_BRAFLDRAFT_263840.1.1.m.51673",43.229,13.39745,14.0862,15.99485,9.4348,2.33855
"585",9,"3","CHOYP_BRAFLDRAFT_281651.5.8.m.25278",63.14915,17.8956,0.1,0.1,0.1,0.1
"701",1,"3","CHOYP_BRAFLDRAFT_80039.1.1.m.2568",10.3835,20.9172,18.6728,21.0299,26.9827,18.60235
"823",15,"3","CHOYP_BT3L4.1.1.m.2144",166.5921,183.2932,156.9453,180.86295,191.90435,153.03145
"1028",9,"3","CHOYP_contig_008261.m.9575",58.2711,0.1,0.1,0.1,0.1,0.1
"1097",9,"3","CHOYP_contig_023655.m.26913",40.9,0.1,0.1,0.1,0.1,0.1
"1113",1,"3","CHOYP_contig_024653.m.28033",18.4984,20.10695,25.65145,16.6774,9.62145,7.8448
"1556",2,"3","CHOYP_DYHC.1.3.m.10664",35.62245,19.9859,21.152,15.3078,11.92025,19.7656
"1573",12,"3","CHOYP_EF1A.2.4.m.50858",592.91925,671.2199,625.9092,638.5678,813.5562,814.2211
"1577",13,"3","CHOYP_EF1G.3.3.m.63510",92.5038,133.9079,147.7596,126.33685,168.9061,144.69235
"1684",14,"3","CHOYP_GBLP.3.7.m.20931",428.83955,443.17085,505.38215,497.95185,510.2815,474.48625
"1687",2,"3","CHOYP_GCN1L.1.1.m.1352",14.7629,20.89745,23.02635,22.779,18.96195,15.66445
"2064",16,"3","CHOYP_LOC100186361.3.3.m.66600",100.07095,132.7258,121.9119,135.77515,135.64325,139.9971
"2543",1,"3","CHOYP_LOC100377364.2.2.m.52803",7.22455,17.4225,19.0295,18.84055,18.414,18.8455
"2544",7,"3","CHOYP_LOC100377378.1.1.m.64418",70.1014,42.44965,45.40165,48.8509,47.6983,38.44715
"2654",17,"3","CHOYP_LOC100533294.1.3.m.35108",226.3257,204.63215,227.36825,212.37445,219.7757,329.5942
"2665",18,"3","CHOYP_LOC100533447.2.3.m.44496",131.05245,166.6064,205.0143,203.90855,252.37035,240.01075
"2967",5,"3","CHOYP_LOC100903522.1.3.m.2296",159.1001,242.87365,228.2578,185.9719,243.9528,268.7364
"2977",1,"3","CHOYP_LOC100907708.1.1.m.16095",13.86245,16.0441,17.4117,17.00065,21.4832,24.04345
"3039",19,"3","CHOYP_LOC101156984.2.2.m.22956",475.48035,390.79095,452.0377,434.48045,450.16025,369.9468
"3437",2,"3","CHOYP_MBCDH18.1.1.m.34344",27.647,22.77455,24.0095,18.77905,9.34465,19.08835
"3572",15,"3","CHOYP_MYS.4.7.m.18188",162.82165,168.01925,164.15425,158.0989,178.9106,180.6226
"3574",20,"3","CHOYP_MYS.7.7.m.44342",229.6529,155.28895,154.20775,162.70525,202.76995,211.69315
"3771",2,"3","CHOYP_PAN2.1.1.m.44690",17.10605,22.47425,21.10645,23.3297,22.9627,21.92455
"3802",10,"3","CHOYP_PDIA1.1.1.m.5297",181.8847,209.10535,210.87905,225.9478,218.01885,210.55115
"4442",2,"3","CHOYP_U520.1.1.m.7087",18.8799,20.7657,22.85695,23.07455,17.16585,21.21885
"4495",1,"3","CHOYP_VOLCADRAFT_121426.1.1.m.43175",18.98775,22.93085,21.87085,15.02615,15.9446,13.4533
"4765",26,"9","CHOYP_ATPA.1.1.m.50245",153.78865,146.5127,153.6877,179.67585,118.92845,126.3433
