term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006935,"chemotaxis",0.475%, 1.980,-5.869,4.785,-2.5369,0.935,0.000,6935,0
GO:0042330,"taxis",0.480%,null,null,4.789,-2.5086,0.938,0.854,6935,1
GO:0007015,"actin filament organization",0.240%,-6.176,-1.526,4.488,-5.2495,0.434,0.000,7015,0
GO:0048285,"organelle fission",0.463%,null,null,4.774,-1.1094,0.529,0.627,7015,1
GO:0000280,"nuclear division",0.422%,null,null,4.734,-1.1563,0.528,0.955,7015,1
GO:0051494,"negative regulation of cytoskeleton organization",0.071%,null,null,3.958,-2.3117,0.453,0.857,7015,1
GO:0051493,"regulation of cytoskeleton organization",0.232%,null,null,4.474,-2.3522,0.444,0.795,7015,1
GO:0032271,"regulation of protein polymerization",0.135%,null,null,4.239,-1.9690,0.450,0.934,7015,1
GO:0032272,"negative regulation of protein polymerization",0.045%,null,null,3.765,-2.9497,0.460,0.963,7015,1
GO:0030832,"regulation of actin filament length",0.130%,null,null,4.221,-2.0191,0.390,0.951,7015,1
GO:0030835,"negative regulation of actin filament depolymerization",0.034%,null,null,3.639,-3.1261,0.365,0.982,7015,1
GO:0030833,"regulation of actin filament polymerization",0.123%,null,null,4.198,-2.1006,0.343,0.920,7015,1
GO:0030834,"regulation of actin filament depolymerization",0.038%,null,null,3.685,-3.0334,0.375,0.950,7015,1
GO:0032535,"regulation of cellular component size",0.179%,null,null,4.362,-1.5207,0.489,0.940,7015,1
GO:0033043,"regulation of organelle organization",0.495%,null,null,4.803,-1.3552,0.455,0.631,7015,1
GO:1902589,"single-organism organelle organization",1.399%,null,null,5.254,-2.9867,0.448,0.703,7015,1
GO:0007067,"mitotic nuclear division",0.322%,null,null,4.616,-1.2805,0.499,0.606,7015,1
GO:0010639,"negative regulation of organelle organization",0.159%,null,null,4.309,-1.6300,0.451,0.876,7015,1
GO:0070252,"actin-mediated cell contraction",0.016%,null,null,3.312,-1.4332,0.711,0.745,7015,1
GO:0007010,"cytoskeleton organization",0.786%,null,null,5.004,-3.8761,0.510,0.589,7015,1
GO:0008154,"actin polymerization or depolymerization",0.153%,null,null,4.293,-1.9220,0.445,0.903,7015,1
GO:0008064,"regulation of actin polymerization or depolymerization",0.130%,null,null,4.221,-2.0191,0.385,0.995,7015,1
GO:0032970,"regulation of actin filament-based process",0.179%,null,null,4.362,-2.7338,0.631,0.891,7015,1
GO:0051693,"actin filament capping",0.032%,null,null,3.609,-3.2306,0.355,0.973,7015,1
GO:0032956,"regulation of actin cytoskeleton organization",0.173%,null,null,4.346,-1.6300,0.389,0.970,7015,1
GO:0030036,"actin cytoskeleton organization",0.381%,null,null,4.690,-4.2807,0.420,0.949,7015,1
GO:1901880,"negative regulation of protein depolymerization",0.039%,null,null,3.698,-2.9107,0.430,0.984,7015,1
