Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007015~actin filament organization	6	42.857142857142854	5.964728111722436E-6	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	128	4642	18.1328125	0.004635758604054185	0.004635758604054185	0.009123489452478317
GOTERM_BP_FAT	GO:0030036~actin cytoskeleton organization	6	42.857142857142854	5.538997547670111E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	202	4642	11.490099009900991	0.04223227240478522	0.02134391761190446	0.08469310717688083
GOTERM_BP_FAT	GO:0030029~actin filament-based process	6	42.857142857142854	9.304360743275706E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	225	4642	10.315555555555555	0.06991969057692082	0.023871896355809552	0.14222847579119513
GOTERM_BP_FAT	GO:0007010~cytoskeleton organization	7	50.0	1.4208374622722984E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	409	4642	6.620619396903016	0.10478476375977941	0.027293391885033214	0.21711618758624152
GOTERM_BP_FAT	GO:0040011~locomotion	7	50.0	1.5214088560159397E-4	Q9NRC6, Q23551, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	414	4642	6.540660225442835	0.11177195941356177	0.023426588495543132	0.23246765319101526
GOTERM_BP_FAT	GO:0032989~cellular component morphogenesis	7	50.0	2.4581034128031033E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	451	4642	6.004065040650406	0.17428846225393735	0.031414286791080714	0.37534103835701327
GOTERM_BP_FAT	GO:0030030~cell projection organization	7	50.0	3.4373411038260854E-4	Q9NRC6, P13395, P21333, Q2PZL6, Q8TE73, P02549, Q9VEN1	12	479	4642	5.653096729297148	0.23495062379844434	0.037536631151303235	0.5244990307893937
GOTERM_BP_FAT	GO:0006928~movement of cell or subcellular component	7	50.0	3.6830790637365756E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	485	4642	5.583161512027491	0.24946178363184235	0.035234862891006635	0.561897189299343
GOTERM_BP_FAT	GO:0048858~cell projection morphogenesis	6	42.857142857142854	4.186842140525168E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	309	4642	7.511326860841423	0.2783559735181588	0.03559797536976195	0.6385223758919478
GOTERM_BP_FAT	GO:0032990~cell part morphogenesis	6	42.857142857142854	4.649475281356312E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	316	4642	7.34493670886076	0.3039114161899702	0.03557946041501647	0.7088428541635605
