"clust.class","Freq"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",7
"13",1
"14",1
"15",1
"16",1
"17",7
"18",2
"19",1
"20",1
"21",11
"22",2
"23",25
"24",1
"25",1
"26",1
"27",1
"28",88
"29",1
"30",1
"31",1
"32",2
"33",1
"34",1
"35",2
"36",1
"37",1218
"38",1
"39",1
"40",1
"41",4
"42",1
"43",1
"44",4
"45",7
"46",1
"47",1
"48",15392
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",4
"61",4
"62",1
"63",1
"64",8
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",4
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",2
"80",1
"81",1
"82",1
"83",1
"84",1
