"","fc3","fc5","fc7","fc9","fc11","fc13"
"CHOYP_1433G.2.2|m.63450",-24.3083563782301,-30.4803085074972,-31.0844551292714,-27.4863663203161,-30.5712313157707,-28.0588713098154
"CHOYP_AADAT.1.1|m.12672",-3.70592102046157,-4.31185131930297,-3.13875884577983,-4.41425646945078,-2.18716924913169,-2.14430835741914
"CHOYP_FYN.1.1|m.44312",-18.7111473687193,-15.6468248202452,-15.7887466153002,-17.6620896716245,-20.7559495232958,-13.8601166613542
"CHOYP_G6PD.2.2|m.46923",-9.85937441210009,-9.88993675932856,-6.14990607747853,-8.64377884403735,-10.6349411743965,-11.9879856667443
"CHOYP_GAK.1.1|m.7017",-3.07539761339952,-2.25077199632951,1.136613323679,-2.38522857276914,-3.51949860769692,-3.76268296024426
"CHOYP_GAR1.1.2|m.9449",-7.5096676471229,-4.5308597332306,-4.18213856777899,-9.26394848426659,-5.33317592978222,-8.29622560923838
"CHOYP_GBB.2.2|m.35274",-2.86515604404006,-2.21179572402918,-1.5761436397386,-3.2051039753316,-3.93588945112896,-4.16090690046967
"CHOYP_GBLP.6.7|m.57427",-18.2023468935475,-17.6900185275141,-19.6052823266879,-22.4799315580095,-22.0622520950956,-18.7284244641193
"CHOYP_GCC2.1.1|m.17251",1.06072852115211,-1.00987486379962,-1.45843416533093,-1.1366241905697,-2.26801778581197,-1.47584357719931
"CHOYP_GCN1L.1.1|m.1352",-6.48916327076301,-6.47884043652954,-5.84459472168033,-5.66877081396603,-6.47229909305717,-5.28225491503816
"CHOYP_GCSP.1.1|m.46644",-6.31351024080207,-6.47123234125379,-6.27023875755958,-4.89251987065933,-6.24718054034573,-7.44114632811609
"CHOYP_GCST.1.1|m.16047",-6.11479264594801,-7.08515473053425,-7.47267254598824,-7.18350488802967,-9.64234917339674,-9.36167747346964
"CHOYP_GDE.1.1|m.54948",-2.65075675931354,-2.55743485735029,-1.79761091689169,-1.36779250864891,-2.39177372836489,-2.43228636523142
"CHOYP_GELS2.2.2|m.30443",-35.4738687318878,-36.1574762185007,-42.9053954999297,-47.1915819158152,-54.3196184279269,-40.0565450670328
"CHOYP_GEPH.1.2|m.49093",-4.30046691472856,-2.78026026307984,-2.10670759006072,-3.67055406506083,-2.43722025021451,-4.12059011974985
