"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"1","3_CHOYP_DYAK_GE11656.1.2|m.34706",0,0,0,0,0.5,0,0,0
"2","3_CHOYP_HGFAC.1.1|m.5902",0,0,0,0,0.5,0,0,0
"3","3_CHOYP_HMCN2.11.12|m.51619",0,0,0,0,0,0.5,0,0
"4","3_CHOYP_LAMA2.1.1|m.10439",0,0,0.5,0,0,0,0,0
"5","3_CHOYP_LOC100079978.1.1|m.18519",0,0,0,0,0.5,0,0,0
"6","3_CHOYP_LOC100119310.1.1|m.22031",0,0,0,0,0,0,0.5,0
"7","3_CHOYP_LOC100373421.1.1|m.38932",1,0.5,0,0,0,0,0,0
"8","3_CHOYP_LOC100377759.15.15|m.64824",0,0,0,0,0,0,0,0.5
"9","3_CHOYP_LOC100524481.1.1|m.14740",0,0,0,0,0,0.5,0,0
"10","3_CHOYP_LOC101065571.1.2|m.36430",0.5,0.5,0,0,0,0,0,0
"11","3_CHOYP_MIB1.3.4|m.57545",0,0.5,0,0,0,0,0,0
"12","3_CHOYP_PHUM_PHUM226120.6.7|m.48915",0,0.5,0,0,0,0,0,0
"13","3_CHOYP_PTPRK.17.20|m.60780",0,0,0,0,0,0,0,0.5
"14","3_CHOYP_TMM98.1.1|m.51750",0,0,0,0,0,0.5,0,0
"15","3_CHOYP_TSSC1.1.1|m.66470",0,0,0.5,0,0,0,0,0
"16","3_CHOYP_TVAG_283050.1.1|m.65542",0,0,0.5,0,0,0,0,0
"17","3_CHOYP_BH13620.1.1|m.41020",1,0.5,0,0,0,0,0,0
"18","3_CHOYP_BRAFLDRAFT_215413.1.1|m.2004",0,0,0.5,0,0,0,0,0
"19","3_CHOYP_DCA15.1.1|m.11376",0,0.5,0,0,0,0,0,0
"20","3_CHOYP_DHR-1.1.1|m.43819",0,0,0,0,0,0.5,0,0
"21","3_CHOYP_DNER.1.1|m.28378",0,0,0.5,0,0,0,0,0
"22","3_CHOYP_ISCW_ISCW017474.1.1|m.18280",0,0,0,0.5,0,0,0,0
"23","3_CHOYP_LOC100636110.1.2|m.5041",0,0,0,0.5,0,0,0,0
"24","3_CHOYP_LOC100707367.1.1|m.16292",0,0,0,0.5,0,0,0,0
"25","3_CHOYP_MEGF6.3.59|m.2378",0,0,0,0,0,0.5,0,0
"26","3_CHOYP_NAGT1.1.1|m.8857",0,0,0,0,0,0.5,0,0
"27","3_CHOYP_NEMVEDRAFT_V1G236573.1.2|m.46431",0,0,0,0,0.5,0,0,0
"28","3_CHOYP_NEMVEDRAFT_V1G238590.1.1|m.49168",1,0,0,0,0,0.5,0,0
"29","3_CHOYP_PDE11.1.3|m.8788",0,0,0,0,0,0,0.5,0
"30","3_CHOYP_SMP_076400.2.2|m.49169",0,0,0.5,0,0,0,0,0
"31","3_CHOYP_ALKB8.1.2|m.27789",0,0,0,0.5,0,0,0,0
"32","3_CHOYP_APLA.1.2|m.191",0,0,0,0,0,0,0.5,0
"33","3_CHOYP_BRAFLDRAFT_120139.4.5|m.50713",0.5,0.5,0,0,0,0,0,0
"34","3_CHOYP_BRAFLDRAFT_124130.2.3|m.30247",0,0,0,0,0.5,0,0,0
"35","3_CHOYP_BRAFLDRAFT_81321.3.10|m.34305",1,0,0.5,0,0,0,0,0
"36","3_CHOYP_BRAFLDRAFT_87630.1.1|m.30352",0,0,0,0.5,0,0,0,0
"37","3_CHOYP_CBR-LET-2.2.2|m.44682",0,0,0,0,0,0.5,0,0
"38","3_CHOYP_CENPJ.1.1|m.49318",0,0,0,0,0.5,0,0,0
"39","3_CHOYP_LOC100898124.1.1|m.49610",0,0,0,0,0,0,0,0.5
"40","3_CHOYP_LOC579946.17.24|m.53406",0,0.5,0,0,0,0,0,0
"41","3_CHOYP_MYBA.1.1|m.48052",0,0,0,0.5,0,0,0,0
"42","3_CHOYP_PHUM_PHUM174820.1.1|m.57391",0.5,0,0,0,0,0,0,0.5
"43","3_CHOYP_PTPRZ.4.9|m.21524",0,0,0,0.5,0,0,0,0
"44","3_CHOYP_RM23.1.1|m.173",0.5,0.5,0,0,0,0,0,0
"45","3_CHOYP_UB2D2.1.1|m.56387",0,0,0,0,0.5,0,0,0
"46","3_CHOYP_ACSF3.1.1|m.14825",1,0.5,0,0,0,0,0,0
"47","3_CHOYP_AGAP_AGAP000232.1.1|m.1999",1,0.5,0,0,0,0,0,0
"48","3_CHOYP_ARIP4.3.3|m.33366",0,0,0,0,0,0.5,0,0
"49","3_CHOYP_FCHO2.1.1|m.46242",0,0.5,0,0,0,0,0,0
"50","3_CHOYP_GLMN.1.1|m.17085",0.5,0,0.5,0,0,0,0,0
"51","3_CHOYP_ISCA1.1.2|m.17578",0,0,0,0,0,0,0.5,0
"52","3_CHOYP_LDBPK_300810.1.1|m.29406",0,0,0,0,0,0,0.5,0
"53","3_CHOYP_LOC100017222.1.1|m.19930",0,0,0.5,0,0,0,0,0
"54","3_CHOYP_LOC100208023.8.8|m.49917",0,0,0,0.5,0,0,0,0
"55","3_CHOYP_LOC100367326.1.1|m.56733",0.5,0,0,0,0,0,0,0.5
"56","3_CHOYP_LOC100369754.6.10|m.53352",0,0,0,0,0.5,0,0,0
"57","3_CHOYP_LOC100376274.7.7|m.64553",0,0.5,0,0,0,0,0,0
"58","3_CHOYP_LOC101064472.1.1|m.66819",0,0,0,0.5,0,0,0,0
"59","3_CHOYP_LOC581748.1.1|m.47690",0,0,0,0.5,0,0,0,0
"60","3_CHOYP_PLXA2.1.3|m.17630",0,0,0,0,0,0,0,0.5
