"","Silo3","Silo9"
"1","CHOYP_G6PD.2.2.m.46923","CHOYP_G6PD.2.2.m.46923.3"
"2","CHOYP_G6PD.2.2.m.46923.1","CHOYP_G6PD.2.2.m.46923.3.1"
"3","CHOYP_ALF.3.3.m.66837","CHOYP_FYN.1.1.m.44312"
"4","CHOYP_FYN.1.1.m.44312","CHOYP_ALF.3.3.m.66837"
"5","CHOYP_G6PD.2.2.m.46923.2","CHOYP_G6PD.2.2.m.46923.3.2"
"6","CHOYP_G6PD.2.2.m.46923.3","CHOYP_G6PD.2.2.m.46923.3.3"
"7","CHOYP_FYN.1.1.m.44312.1","CHOYP_G6PD.2.2.m.46923.3.4"
"8","CHOYP_ALF.3.3.m.66837.1","CHOYP_ALF.3.3.m.66837.1"
"9","CHOYP_G6PD.2.2.m.46923.4","CHOYP_G6PD.2.2.m.46923.3.5"
"10","CHOYP_FYN.1.1.m.44312.2","CHOYP_FYN.1.1.m.44312.1"
"11","CHOYP_G6PD.2.2.m.46923.5","CHOYP_G6PD.2.2.m.46923.3.6"
"12","CHOYP_G6PD.2.2.m.46923.6","CHOYP_G6PD.2.2.m.46923.3.7"
"13","CHOYP_G6PD.2.2.m.46923.7","CHOYP_G6PD.2.2.m.46923.3.8"
"14","CHOYP_G6PD.2.2.m.46923.8","CHOYP_ALF.3.3.m.66837.2"
"15","CHOYP_FUT8.1.1.m.9231","CHOYP_ALF.3.3.m.66837.3"
"16","CHOYP_FYN.1.1.m.44312.3","CHOYP_G6PD.2.2.m.46923.2"
"17","CHOYP_G6PD.2.2.m.46923.9","CHOYP_G6PD.2.2.m.46923.3.9"
"18","CHOYP_G6PD.2.2.m.46923.10","CHOYP_G6PD.2.2.m.46923.3.10"
"19","CHOYP_G6PD.2.2.m.46923.11","CHOYP_G6PD.2.2.m.46923.3.11"
"20","CHOYP_FUT8.1.1.m.9231.1","CHOYP_ALF.3.3.m.66837.4"
"21","CHOYP_G6PD.2.2.m.46923.12","CHOYP_G6PD.2.2.m.46923"
"22","CHOYP_G6PD.2.2.m.46923.13","CHOYP_G6PD.2.2.m.46923.3.12"
"23","CHOYP_ALF.3.3.m.66837.2","CHOYP_G6PD.2.2.m.46923.3.13"
"24","CHOYP_G6PD.2.2.m.46923.14","CHOYP_FYN.1.1.m.44312.2"
"25","CHOYP_G6PD.2.2.m.46923.15","CHOYP_FYN.1.1.m.44312.3"
"26","CHOYP_FUT8.1.1.m.9231.2","CHOYP_G6PD.2.2.m.46923.3.14"
"27","CHOYP_G6PD.2.2.m.46923.16","CHOYP_G6PD.2.2.m.46923.1"
"28","CHOYP_FYN.1.1.m.44312.4","CHOYP_G6PD.2.2.m.46923.3.15"
"29","CHOYP_FUT8.1.1.m.9231.3","CHOYP_G6PD.2.2.m.46923.3.16"
"30","CHOYP_G6PD.2.2.m.46923.17","CHOYP_G6PD.2.2.m.46923.2.1"
"31","CHOYP_G6PD.2.2.m.46923.18","CHOYP_G6PD.2.2.m.46923.3.17"
"32","CHOYP_ALF.3.3.m.66837.3","CHOYP_G6PD.2.2.m.46923.3.18"
"33","CHOYP_FYN.1.1.m.44312.5","CHOYP_FYN.1.1.m.44312.4"
"34","CHOYP_G6PD.2.2.m.46923.19","CHOYP_G6PD.2.2.m.46923.2.2"
"35","CHOYP_G6PD.2.2.m.46923.20","CHOYP_G6PD.2.2.m.46923.3.19"
"36","CHOYP_G6PD.2.2.m.46923.21","CHOYP_G6PD.2.2.m.46923.4"
"37","CHOYP_G6PD.2.2.m.46923.22","CHOYP_G6PD.2.2.m.46923.3.20"
"38","CHOYP_G6PD.2.2.m.46923.23","CHOYP_G6PD.2.2.m.46923.3.21"
"39","CHOYP_G6PD.2.2.m.46923.24","CHOYP_G6PD.2.2.m.46923.3.22"
"40","CHOYP_FYN.1.1.m.44312.6","CHOYP_G6PD.2.2.m.46923.3.23"
"41","CHOYP_G6PD.2.2.m.46923.25","CHOYP_G6PD.2.2.m.46923.3.24"
"42","CHOYP_FYN.1.1.m.44312.7","CHOYP_G6PD.2.2.m.46923.3.25"
"43","CHOYP_G6PD.2.2.m.46923.26","CHOYP_G6PD.2.2.m.46923.3.26"
"44","CHOYP_G6PD.2.2.m.46923.27","CHOYP_G6PD.2.2.m.46923.2.3"
"45","CHOYP_FYN.1.1.m.44312.8","CHOYP_G6PD.2.2.m.46923.3.27"
"46","CHOYP_G6PD.2.2.m.46923.28","CHOYP_G6PD.2.2.m.46923.3.28"
"47","CHOYP_G6PD.2.2.m.46923.29","CHOYP_ALF.3.3.m.66837.5"
"48","CHOYP_ALF.3.3.m.66837.4","CHOYP_G6PD.2.2.m.46923.3.29"
"49","CHOYP_G6PD.2.2.m.46923.30","CHOYP_G6PD.2.2.m.46923.3.30"
"50","CHOYP_FUT8.1.1.m.9231.4","CHOYP_G6PD.2.2.m.46923.3.31"
"51","CHOYP_FYN.1.1.m.44312.9","CHOYP_G6PD.2.2.m.46923.2.4"
"52","CHOYP_1433G.2.2.m.63450","CHOYP_G6PD.2.2.m.46923.3.32"
"53","CHOYP_ALF.3.3.m.66837.5","CHOYP_G6PD.2.2.m.46923.5"
"54","CHOYP_G6PD.2.2.m.46923.31","CHOYP_G6PD.2.2.m.46923.3.33"
"55","CHOYP_FYN.1.1.m.44312.10","CHOYP_FYN.1.1.m.44312.5"
"56","CHOYP_FUT8.1.1.m.9231.5","CHOYP_G6PD.2.2.m.46923.3.34"
"57","CHOYP_G6PD.2.2.m.46923.32","CHOYP_FYN.1.1.m.44312.6"
"58","CHOYP_G6PD.2.2.m.46923.33","CHOYP_ALF.3.3.m.66837.6"
"59","CHOYP_AADAT.1.1.m.12672","CHOYP_G6PD.2.2.m.46923.3.35"
"60","CHOYP_G6PD.2.2.m.46923.34","CHOYP_G6PD.2.2.m.46923.3.36"
"61","CHOYP_G6PD.2.2.m.46923.35","CHOYP_ALF.3.3.m.66837.7"
"62","CHOYP_G6PD.2.2.m.46923.36","CHOYP_G6PD.2.2.m.46923.3.37"
"63","CHOYP_FUT8.1.1.m.9231.6","CHOYP_G6PD.2.2.m.46923.3.38"
"64","CHOYP_G6PD.2.2.m.46923.37","CHOYP_G6PD.2.2.m.46923.3.39"
"65","CHOYP_G6PD.2.2.m.46923.38","CHOYP_G6PD.2.2.m.46923.3.40"
"66","CHOYP_FUT8.1.1.m.9231.7","CHOYP_G6PD.2.2.m.46923.3.41"
"67","CHOYP_FUT8.1.1.m.9231.8","CHOYP_ALF.3.3.m.66837.8"
"68","CHOYP_G6PD.2.2.m.46923.39","CHOYP_ALF.3.3.m.66837.9"
"69","CHOYP_G6PD.2.2.m.46923.40","CHOYP_G6PD.2.2.m.46923.3.42"
"70","CHOYP_G6PD.2.2.m.46923.41","CHOYP_G6PD.2.2.m.46923.3.43"
"71","CHOYP_1433G.2.2.m.63450.1","CHOYP_G6PD.2.2.m.46923.3.44"
"72","CHOYP_G6PD.2.2.m.46923.42","CHOYP_G6PD.2.2.m.46923.6"
"73","CHOYP_G6PD.2.2.m.46923.43","CHOYP_G6PD.2.2.m.46923.3.45"
"74","CHOYP_G6PD.2.2.m.46923.44","CHOYP_G6PD.2.2.m.46923.3.46"
"75","CHOYP_G6PD.2.2.m.46923.45","CHOYP_G6PD.2.2.m.46923.3.47"
"76","CHOYP_G6PD.2.2.m.46923.46","CHOYP_G6PD.2.2.m.46923.3.48"
"77","CHOYP_G6PD.2.2.m.46923.47","CHOYP_G6PD.2.2.m.46923.3.49"
"78","CHOYP_G6PD.2.2.m.46923.48","CHOYP_G6PD.2.2.m.46923.1.1"
"79","CHOYP_G6PD.2.2.m.46923.49","CHOYP_G6PD.2.2.m.46923.3.50"
"80","CHOYP_FYN.1.1.m.44312.11","CHOYP_G6PD.2.2.m.46923.3.51"
"81","CHOYP_AADAT.1.1.m.12672.1","CHOYP_G6PD.2.2.m.46923.2.5"
"82","CHOYP_FYN.1.1.m.44312.12","CHOYP_G6PD.2.2.m.46923.1.2"
"83","CHOYP_ALF.3.3.m.66837.6","CHOYP_G6PD.2.2.m.46923.3.52"
"84","CHOYP_FYN.1.1.m.44312.13","CHOYP_ALF.3.3.m.66837.10"
"85","CHOYP_G6PD.2.2.m.46923.50","CHOYP_G6PD.2.2.m.46923.3.53"
"86","CHOYP_1433G.2.2.m.63450.2","CHOYP_G6PD.2.2.m.46923.3.54"
"87","CHOYP_1433G.2.2.m.63450.3","CHOYP_ALF.3.3.m.66837.11"
"88","CHOYP_FYN.1.1.m.44312.14","CHOYP_G6PD.2.2.m.46923.3.55"
"89","CHOYP_FYN.1.1.m.44312.15","CHOYP_G6PD.2.2.m.46923.2.6"
"90","CHOYP_G6PD.2.2.m.46923.51","CHOYP_G6PD.2.2.m.46923.3.56"
"91","CHOYP_FYN.1.1.m.44312.16","CHOYP_G6PD.2.2.m.46923.2.7"
"92","CHOYP_1433G.2.2.m.63450.4","CHOYP_G6PD.2.2.m.46923.1.3"
"93","CHOYP_G6PD.2.2.m.46923.52","CHOYP_G6PD.2.2.m.46923.3.57"
"94","CHOYP_FUT8.1.1.m.9231.9","CHOYP_G6PD.2.2.m.46923.2.8"
"95","CHOYP_1433G.2.2.m.63450.5","CHOYP_G6PD.2.2.m.46923.3.58"
"96","CHOYP_G6PD.2.2.m.46923.53","CHOYP_FYN.1.1.m.44312.7"
"97","CHOYP_G6PD.2.2.m.46923.54","CHOYP_G6PD.2.2.m.46923.3.59"
"98","CHOYP_G6PD.2.2.m.46923.55","CHOYP_G6PD.2.2.m.46923.3.60"
"99","CHOYP_G6PD.2.2.m.46923.56","CHOYP_G6PD.2.2.m.46923.3.61"
"100","CHOYP_G6PD.2.2.m.46923.57","CHOYP_G6PD.2.2.m.46923.2.9"
"101","CHOYP_G6PD.2.2.m.46923.58","CHOYP_G6PD.2.2.m.46923.2.10"
"102","CHOYP_G6PD.2.2.m.46923.59","CHOYP_G6PD.2.2.m.46923.3.62"
"103","CHOYP_G6PD.2.2.m.46923.60","CHOYP_G6PD.2.2.m.46923.3.63"
"104","CHOYP_G6PD.2.2.m.46923.61","CHOYP_G6PD.2.2.m.46923.3.64"
"105","CHOYP_G6PD.2.2.m.46923.62","CHOYP_G6PD.2.2.m.46923.3.65"
"106","CHOYP_G6PD.2.2.m.46923.63","CHOYP_G6PD.2.2.m.46923.3.66"
"107","CHOYP_G6PD.2.2.m.46923.64","CHOYP_G6PD.2.2.m.46923.3.67"
"108","CHOYP_G6PD.2.2.m.46923.65","CHOYP_G6PD.2.2.m.46923.3.68"
"109","CHOYP_G6PD.2.2.m.46923.66","CHOYP_G6PD.2.2.m.46923.7"
"110","CHOYP_1433G.2.2.m.63450.6","CHOYP_FYN.1.1.m.44312.8"
"111","CHOYP_FUT8.1.1.m.9231.10","CHOYP_ALF.3.3.m.66837.12"
"112","CHOYP_ALF.3.3.m.66837.7","CHOYP_G6PD.2.2.m.46923.1.4"
"113","CHOYP_FUT8.1.1.m.9231.11","CHOYP_G6PD.2.2.m.46923.3.69"
"114","CHOYP_G6PD.2.2.m.46923.67","CHOYP_G6PD.2.2.m.46923.1.5"
"115","CHOYP_1433G.2.2.m.63450.7","CHOYP_G6PD.2.2.m.46923.2.11"
"116","CHOYP_1433G.2.2.m.63450.8","CHOYP_G6PD.2.2.m.46923.3.70"
"117","CHOYP_FUT8.1.1.m.9231.12","CHOYP_G6PD.2.2.m.46923.3.71"
"118","CHOYP_G6PD.2.2.m.46923.68","CHOYP_G6PD.2.2.m.46923.3.72"
"119","CHOYP_G6PD.2.2.m.46923.69","CHOYP_G6PD.2.2.m.46923.3.73"
"120","CHOYP_G6PD.2.2.m.46923.70","CHOYP_G6PD.2.2.m.46923.3.74"
"121","CHOYP_G6PD.2.2.m.46923.71","CHOYP_G6PD.2.2.m.46923.3.75"
"122","CHOYP_FYN.1.1.m.44312.17","CHOYP_G6PD.2.2.m.46923.3.76"
"123","CHOYP_G6PD.2.2.m.46923.72","CHOYP_G6PD.2.2.m.46923.3.77"
"124","CHOYP_G6PD.2.2.m.46923.73","CHOYP_G6PD.2.2.m.46923.3.78"
"125","CHOYP_G6PD.2.2.m.46923.74","CHOYP_G6PD.2.2.m.46923.3.79"
"126","CHOYP_G6PD.2.2.m.46923.75","CHOYP_G6PD.2.2.m.46923.3.80"
"127","CHOYP_G6PD.2.2.m.46923.76","CHOYP_G6PD.2.2.m.46923.3.81"
"128","CHOYP_G6PD.2.2.m.46923.77","CHOYP_G6PD.2.2.m.46923.1.6"
"129","CHOYP_G6PD.2.2.m.46923.78","CHOYP_G6PD.2.2.m.46923.3.82"
"130","CHOYP_ALF.3.3.m.66837.8","CHOYP_G6PD.2.2.m.46923.8"
"131","CHOYP_G6PD.2.2.m.46923.79","CHOYP_FYN.1.1.m.44312.9"
"132","CHOYP_1433G.2.2.m.63450.9","CHOYP_G6PD.2.2.m.46923.2.12"
"133","CHOYP_FYN.1.1.m.44312.18","CHOYP_G6PD.2.2.m.46923.1.7"
"134","CHOYP_G6PD.2.2.m.46923.80","CHOYP_G6PD.2.2.m.46923.9"
"135","CHOYP_ALF.3.3.m.66837.9","CHOYP_G6PD.2.2.m.46923.3.83"
"136","CHOYP_AADAT.1.1.m.12672.2","CHOYP_G6PD.2.2.m.46923.3.84"
"137","CHOYP_G6PD.2.2.m.46923.81","CHOYP_FYN.1.1.m.44312.10"
"138","CHOYP_G6PD.2.2.m.46923.82","CHOYP_G6PD.2.2.m.46923.3.85"
"139","CHOYP_FYN.1.1.m.44312.19","CHOYP_G6PD.2.2.m.46923.2.13"
"140","CHOYP_G6PD.2.2.m.46923.83","CHOYP_G6PD.2.2.m.46923.3.86"
"141","CHOYP_FYN.1.1.m.44312.20","CHOYP_G6PD.2.2.m.46923.3.87"
"142","CHOYP_G6PD.2.2.m.46923.84","CHOYP_ALF.3.3.m.66837.13"
"143","CHOYP_G6PD.2.2.m.46923.85","CHOYP_G6PD.2.2.m.46923.3.88"
"144","CHOYP_FYN.1.1.m.44312.21","CHOYP_G6PD.2.2.m.46923.3.89"
"145","CHOYP_G6PD.2.2.m.46923.86","CHOYP_G6PD.2.2.m.46923.2.14"
"146","CHOYP_G6PD.2.2.m.46923.87","CHOYP_G6PD.2.2.m.46923.3.90"
