File Name,20200218-knownsamples_run1.pcrd,,,,,,,,,
Created By User,admin,,,,,,,,,
Notes,,,,,,,,,,
ID,,,,,,,,,,
Run Started,02/18/2020 20:50:25 UTC,,,,,,,,,
Run Ended,02/18/2020 22:11:50 UTC,,,,,,,,,
Sample Vol,20,,,,,,,,,
Lid Temp,105,,,,,,,,,
Protocol File Name,CFX_2StepAmp60_EVAGreen+Melt.prcl,,,,,,,,,
Plate Setup File Name,QuickPlate_96 wells_All Channels_white.pltd,,,,,,,,,
Base Serial Number,BR006896,,,,,,,,,
Optical Head Serial Number,788BR07000,,,,,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,,,,,
,,,,,,,,,,
Well group,All Wells,,,,,,,,,
Amplification step,3,,,,,,,,,
Melt step,5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Well,Target,Content,Replicate,Sample,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,Melt Temperature,Peak Height
A01,NFIP1,Unkn-17,17,27,27.0701543012632,NaN,26.8596016472912,0.297766418840784,79,3822.36054950208
A02,APLP,Unkn-13,13,61,27.8540516930457,NaN,27.8332043097546,0.0294826521902815,80.4,5062.40414860989
A03,APLP,Unkn-09,9,54,35.1068570747431,NaN,34.9900993658712,0.165120335398157,80,1570.52834476197
A04,APLP,Unkn-05,5,31,29.0701749780998,NaN,29.0719941947438,0.00257276085090228,80.2,4264.56855908735
A05,APLP,Unkn-01,1,19,36.5275816695616,NaN,35.9240732421055,0.853489803114994,None,None
A08,GSK3B,Unkn-37,37,54,31.6738572664798,NaN,31.564113226345,0.155201509948241,None,None
A09,GSK3B,Unkn-33,33,31,22.8656730614191,NaN,22.59139390707,0.387889299956686,84.4,1966.37481995143
A10,GSK3B,Unkn-29,29,19,35.7190104718422,NaN,35.8660708164214,0.207974733791214,81.8,1941.59807693768
A11,NFIP1,Unkn-25,25,57,26.7171246541095,NaN,26.6180402076302,0.140126568031168,79,4173.48581384409
A12,NFIP1,Unkn-21,21,39,35.8226175205038,NaN,35.9365990213745,0.16119418439096,None,None
B01,NFIP1,Unkn-17,17,27,26.6490489933193,NaN,26.8596016472912,0.297766418840784,79,4855.61149446018
B02,APLP,Unkn-13,13,61,27.8123569264635,NaN,27.8332043097546,0.0294826521902815,80.4,5204.60138242499
B03,APLP,Unkn-09,9,54,34.8733416569994,NaN,34.9900993658712,0.165120335398157,None,None
B04,APLP,Unkn-05,5,31,29.0738134113879,NaN,29.0719941947438,0.00257276085090228,80.2,4067.48057351034
B05,APLP,Unkn-01,1,19,35.3205648146493,NaN,35.9240732421055,0.853489803114994,80,1926.56061757363
B08,GSK3B,Unkn-37,37,54,31.4543691862103,NaN,31.564113226345,0.155201509948241,82,1798.36796284566
B09,GSK3B,Unkn-33,33,31,22.317114752721,NaN,22.59139390707,0.387889299956686,84.4,2100.6043911773
B10,GSK3B,Unkn-29,29,19,36.0131311610006,NaN,35.8660708164214,0.207974733791214,82,1723.59967434039
B11,NFIP1,Unkn-25,25,57,26.518955761151,NaN,26.6180402076302,0.140126568031168,79,4880.50735804748
B12,NFIP1,Unkn-21,21,39,36.0505805222452,NaN,35.9365990213745,0.16119418439096,None,None
C01,NFIP1,Unkn-18,18,28,35.6385978813932,NaN,35.9207212019229,0.398982626154747,None,None
C02,APLP,NTC,,,34.178672819945,NaN,34.178672819945,0,None,None
C03,APLP,Unkn-10,10,55,30.7534289680568,NaN,30.6913192528648,0.0878364015797211,80.2,5145.04373942589
C04,APLP,Unkn-06,6,37,35.256865721159,NaN,35.1819530838328,0.105942467699749,None,None
C05,APLP,Unkn-02,2,21,35.1965378551257,NaN,35.3161036249426,0.169091533270622,None,None
C08,GSK3B,Unkn-38,38,55,27.9570605430868,NaN,28.0299030468922,0.103014856798726,82,2693.21385786738
C09,GSK3B,Unkn-34,34,37,37.3858272504746,NaN,38.1107204206374,1.02515375251582,None,None
C10,GSK3B,Unkn-30,30,21,35.1692550309133,NaN,35.0635155940509,0.1495381456885,81.4,1656.62873145584
C11,NFIP1,Unkn-26,26,59,33.9541002499798,NaN,33.9833181645725,0.0413203710812141,78.8,2606.10263573534
C12,NFIP1,Unkn-22,22,43,34.8906623508765,NaN,34.5923009033048,0.421946805645223,90.4,1589.75809172728
D01,NFIP1,Unkn-18,18,28,36.2028445224525,NaN,35.9207212019229,0.398982626154747,None,None
D02,APLP,NTC,,,33.6716710118856,NaN,33.6716710118856,0,None,None
D03,APLP,Unkn-10,10,55,30.6292095376727,NaN,30.6913192528648,0.0878364015797211,80.2,5059.13395259671
D04,APLP,Unkn-06,6,37,35.1070404465067,NaN,35.1819530838328,0.105942467699749,None,None
D05,APLP,Unkn-02,2,21,35.4356693947595,NaN,35.3161036249426,0.169091533270622,None,None
D08,GSK3B,Unkn-38,38,55,28.1027455506975,NaN,28.0299030468922,0.103014856798726,82,2445.64975095121
D09,GSK3B,Unkn-34,34,37,38.8356135908002,NaN,38.1107204206374,1.02515375251582,None,None
D10,GSK3B,Unkn-30,30,21,34.9577761571885,NaN,35.0635155940509,0.1495381456885,None,None
D11,NFIP1,Unkn-26,26,59,34.0125360791652,NaN,33.9833181645725,0.0413203710812141,78.8,2653.91553245688
D12,NFIP1,Unkn-22,22,43,34.2939394557331,NaN,34.5923009033048,0.421946805645223,78.6,2360.92931619771
E01,NFIP1,Unkn-19,19,31,26.8326335266933,NaN,26.8821290074516,0.0699971801645558,78.8,5124.2150485161
E02,NFIP1,Unkn-15,15,,35.8607756742782,NaN,35.7544521439363,0.150364178608957,None,None
E03,APLP,Unkn-11,11,57,27.850270301051,NaN,27.8751385103653,0.0351689588842395,80.2,6085.3048622052
E04,,Unkn-07,7,39,34.7496956772726,NaN,34.6321946003483,0.166171616579783,None,None
E05,APLP,Unkn-03,3,27,28.6198430478327,NaN,28.534701953906,0.120407689746535,80,4290.6336317911
E08,GSK3B,Unkn-39,39,57,21.4345741769125,NaN,21.3639322934748,0.0999027096291672,84.2,3056.98310895146
E09,GSK3B,Unkn-35,35,39,36.40623868848,NaN,36.0815806343148,0.459135823333956,None,None
E10,GSK3B,Unkn-31,31,27,22.8712587074279,NaN,22.7863922447977,0.120019302442259,None,None
E11,NFIP1,Unkn-27,27,61,26.257237567073,NaN,26.2843846446811,0.0383917653321056,78.8,4702.66704845705
E12,NFIP1,Unkn-23,23,54,35.4269037162904,NaN,35.8824598623213,0.644253680139298,90,2228.96668770895
F01,NFIP1,Unkn-19,19,31,26.9316244882099,NaN,26.8821290074516,0.0699971801645558,78.8,4661.59048988346
F02,NFIP1,Unkn-15,15,,35.6481286135944,NaN,35.7544521439363,0.150364178608957,None,None
F03,APLP,Unkn-11,11,57,27.9000067196796,NaN,27.8751385103653,0.0351689588842395,80.2,5744.63063344598
F04,,Unkn-07,7,39,34.514693523424,NaN,34.6321946003483,0.166171616579783,None,None
F05,APLP,Unkn-03,3,27,28.4495608599792,NaN,28.534701953906,0.120407689746535,80,5567.43010250464
F08,GSK3B,Unkn-39,39,57,21.2932904100371,NaN,21.3639322934748,0.0999027096291672,84.2,3230.16422842664
F09,GSK3B,Unkn-35,35,39,35.7569225801497,NaN,36.0815806343148,0.459135823333956,81,1539.82975779451
F10,GSK3B,Unkn-31,31,27,22.7015257821675,NaN,22.7863922447977,0.120019302442259,None,None
F11,NFIP1,Unkn-27,27,61,26.3115317222891,NaN,26.2843846446811,0.0383917653321056,78.8,5039.37792742457
F12,NFIP1,Unkn-23,23,54,36.3380160083522,NaN,35.8824598623213,0.644253680139298,None,None
G01,NFIP1,Unkn-20,20,37,35.3788201252959,NaN,35.6347926395883,0.361999801306991,None,None
G02,NFIP1,Unkn-16,16,21,36.1323298530171,NaN,34.0544721545946,2.93853453779035,None,None
G03,APLP,Unkn-12,12,59,33.5517488274994,NaN,33.5683467128307,0.0234729545421987,79.8,2351.58916813042
G04,APLP,Unkn-08,8,43,31.620843760809,NaN,31.6501195423136,0.0414022072528765,80.2,4054.92748380323
G05,APLP,Unkn-04,4,28,35.9964328452366,NaN,35.8613486529957,0.19103789672935,None,None
G08,GSK3B,Unkn-40,40,59,29.5499834246525,NaN,29.7053888003466,0.21977638997227,None,None
G09,GSK3B,Unkn-36,36,43,28.3199672865111,NaN,28.4323845052866,0.158981955436588,79.6,2642.71340938916
G10,GSK3B,Unkn-32,32,28,32.7287611350995,NaN,34.5288448421822,2.54570279196325,None,None
G11,NFIP1,NTC,,,34.0803566059445,NaN,34.0803566059445,0,89.8,2657.65284596595
