"","Protein.ID","Uniprot","Protein.names","fc9"
"33","CHOYP_CN166.1.1|m.14529","Q5R8I2","UPF0568 protein C14orf166 homolog",-2.04280378682109
"66","CHOYP_ISCW_ISCW019027.2.2|m.66984","Q2PFW9","RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Ventral neuron-specific protein 1)",2.21317902266045
"75","CHOYP_LOC100182585.2.2|m.24665","Q2PFW9","RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Ventral neuron-specific protein 1)",-3.09204627472466
"118","CHOYP_LOC100864577.1.1|m.8977","Q9Y4K4","Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5)",-2.70951129135145
"130","CHOYP_LOC578781.1.5|m.2353","O95425","Supervillin (Archvillin) (p205/p250)",2.25985100456466
"183","CHOYP_SYFA.1.1|m.53257","Q08BI9","Calcium uniporter protein, mitochondrial",-2.70951129135145
"187","CHOYP_TGM1.1.2|m.5148","P52183","Annulin (Protein-glutamine gamma-glutamyltransferase) (EC 2.3.2.13) (Transglutaminase)",-2
"198","CHOYP_UFSP2.1.1|m.36906","Q9NUQ7","Ufm1-specific protease 2 (UfSP2) (EC 3.4.22.-)",-2
"201","CHOYP_WDR75.1.1|m.9234","Q6DFC6","WD repeat-containing protein 75",-2.25985100456466
"240","CHOYP_CAOG_02976.2.2|m.56777","P93732","Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP)",-2.8073549220576
"266","CHOYP_HSPA12A.21.27|m.57005","A6Q421","Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)",2.25985100456466
"271","CHOYP_ISCW_ISCW017652.1.1|m.49306","Q32PI8","28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt)",2.16992500144231
"274","CHOYP_LOC100115939.1.1|m.28155","Q9NDJ2","Helicase domino (EC 3.6.4.-)",-2.25985100456466
"288","CHOYP_LOC100370603.1.1|m.51092","P40237","CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82)",3.0896936467371
"311","CHOYP_LOC100744506.1.1|m.44043","O46037","Vinculin",-2.25985100456466
"332","CHOYP_LOC585158.1.2|m.18137","O14095","Thioredoxin domain-containing protein plp1 (Phosducin-like protein 1)",-2.25985100456466
"464","CHOYP_LIPA1.1.1|m.10892","Q13136","Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)",-3.0896936467371
"483","CHOYP_LOC100374747.1.1|m.54969","Q9NZQ3","NCK-interacting protein with SH3 domain (54 kDa VacA-interacting protein) (54 kDa vimentin-interacting protein) (VIP54) (90 kDa SH3 protein interacting with Nck) (AF3p21) (Dia-interacting protein 1) (DIP-1) (Diaphanous protein-interacting protein) (SH3 adapter protein SPIN90) (WASP-interacting SH3-domain protein) (WISH) (Wiskott-Aldrich syndrome protein-interacting protein)",-2.70951129135145
"497","CHOYP_LOC100880308.1.1|m.6158","Q5EA98","Microfibrillar-associated protein 1",-2.32192809488736
"529","CHOYP_NRDC.1.1|m.28526","Q8BHG1","Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)",2.32192809488736
"532","CHOYP_PDXK.1.1|m.14904","P82197","Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)",2.26941239209809
"569","CHOYP_ADAMTS16.1.1|m.28149","P28891","Snake venom metalloproteinase fibrolase (SVMP) (EC 3.4.24.72) (Fibrinolytic metalloproteinase) (Fibrinolytic proteinase) (Alfimeprase)",2.32192809488736
