"","Protein.ID","Uniprot","Protein.names","fc7"
"39","CHOYP_DGRI_GH20300.1.1|m.57587","Q63ZH8","Protein FAM136A",-2.4594316186373
"41","CHOYP_DHSO.2.2|m.29745","P0DMQ6","Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase)",-2.70951129135145
"52","CHOYP_FABP.1.2|m.51611","O45035","Fatty acid-binding protein (Sj-FABPc) (Sj14FABP)",-2.25985100456466
"183","CHOYP_SYFA.1.1|m.53257","Q08BI9","Calcium uniporter protein, mitochondrial",-3.96936229591612
"188","CHOYP_TITIN.19.19|m.66288","A2ASS6","Titin (EC 2.7.11.1) (Connectin)",4.24792751344359
"213","CHOYP_BIG1.1.3|m.6444","Q9LPC5","Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (BIG3) (ARF guanine-nucleotide exchange factor BIG3) (Protein EMBRYO SAC DEVELOPMENT ARREST 10)",-2.32192809488736
"234","CHOYP_BRAFLDRAFT_81733.1.1|m.213","A4IHY1","Proteasome assembly chaperone 1",-2.25985100456466
"266","CHOYP_HSPA12A.21.27|m.57005","A6Q421","Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)",-3.0896936467371
"286","CHOYP_LOC100367612.1.1|m.37487","Q5XI13","Glutamate-rich WD repeat-containing protein 1",-2.04280378682109
"309","CHOYP_LOC100711334.1.1|m.16928","P17078","60S ribosomal protein L35",-3.70951129135145
"320","CHOYP_LOC101068003.1.1|m.14900","Q9NZJ6","Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)",-2.70951129135145
"365","CHOYP_PLCD1.1.1|m.63908","P51178","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)",-2.70951129135145
"419","CHOYP_BRAFLDRAFT_74594.1.3|m.1187","Q6GMV2","SET and MYND domain-containing protein 5 (EC 2.1.1.-) (Protein NN8-4AG) (Retinoic acid-induced protein 15)",-2.70951129135145
"439","CHOYP_DRE2.2.2|m.41479","Q5EAC7","Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)",-2.16992500144231
"467","CHOYP_LOC100366428.1.1|m.3740","Q504A5","Probable thiopurine S-methyltransferase (Thiopurine methyltransferase) (EC 2.1.1.67)",-2.16992500144231
