"Cluster","Silo","Protein.ID","CompetentLarvae_1","X3_3","X9_3","X3_5","X9_5","X3_7","X9_7","X3_9","X9_9","X3_11","X9_11","X3_13","X9_13","X3_15","X9_15","Avg","StDev","CoeffcientVariance","Variance","Median","Slope","Kurtosis","Skewness","Max","Min","Range","X1st_quartile","X4th_quartile","Sum","Day0.Day15","Day3.Day15","Avg_Day0.7","Avg_Day9.15","X1sthalf.2ndhalf","Range_Day0.7","Range_Day9.15","Sum.TotalProteinIDs","High.Low","Variability","Tag","column1","column2","column3","column4","column5","column6","column7","column8","column9","column10","column11","column12","column13","clean","Entry","Entry.name","Status","Protein.names","Gene.names","Organism","Length","Gene.ontology..biological.process.","Gene.ontology.IDs","Pathway","Cross.reference..UniPathway.","Cross.reference..CDD.","Cross.reference..Pfam.","Gene.ontology..GO."
1,"3","CHOYP_2AAA.1.1|m.13307",0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0.125,0,0.125,0.5,0,0,"low_abundance","low_variance","low_abundance-low_variance","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
1,"3","CHOYP_AAEL_AAEL000057.1.1|m.36013",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AAEL_AAEL000057.1.1|m.36013","P08953","TOLL_DROME","24.87","374","232","22","47","384","563","923","0.0000002","57.4","1","P08953","TOLL_DROME","reviewed","Protein toll","Tl CG5490","Drosophila melanogaster (Fruit fly)","1097","antifungal humoral response [GO:0019732]; antimicrobial humoral response [GO:0019730]; cell adhesion [GO:0007155]; defense response [GO:0006952]; defense response to fungus [GO:0050832]; defense response to Gram-positive bacterium [GO:0050830]; defense response to oomycetes [GO:0002229]; dorsal/ventral axis specification [GO:0009950]; embryonic pattern specification [GO:0009880]; heart development [GO:0007507]; hemocyte proliferation [GO:0035172]; hemopoiesis [GO:0030097]; immune response [GO:0006955]; innate immune response [GO:0045087]; larval somatic muscle development [GO:0007526]; mitotic cytokinesis [GO:0000281]; positive regulation of antibacterial peptide biosynthetic process [GO:0006963]; positive regulation of antifungal peptide biosynthetic process [GO:0006967]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of embryonic pattern specification [GO:1902875]; regulation of hemocyte differentiation [GO:0045610]; regulation of melanization defense response [GO:0035007]; response to bacterium [GO:0009617]; response to fungus [GO:0009620]; synapse assembly [GO:0007416]; synaptic target inhibition [GO:0016201]; Toll signaling pathway [GO:0008063]; zygotic specification of dorsal/ventral axis [GO:0007352]","GO:0000281; GO:0002229; GO:0004888; GO:0005737; GO:0005769; GO:0005886; GO:0006952; GO:0006955; GO:0006963; GO:0006967; GO:0007155; GO:0007352; GO:0007416; GO:0007507; GO:0007526; GO:0008063; GO:0009617; GO:0009620; GO:0009880; GO:0009897; GO:0009950; GO:0009986; GO:0016021; GO:0016201; GO:0019730; GO:0019732; GO:0019955; GO:0030097; GO:0032154; GO:0035007; GO:0035172; GO:0042802; GO:0043234; GO:0045087; GO:0045610; GO:0045944; GO:0050830; GO:0050832; GO:0070976; GO:1902875","","","","PF00560;PF13306;PF13855;PF01462;PF01582;","cell surface [GO:0009986]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein complex [GO:0043234]; cytokine binding [GO:0019955]; identical protein binding [GO:0042802]; TIR domain binding [GO:0070976]; transmembrane signaling receptor activity [GO:0004888]; antifungal humoral response [GO:0019732]; antimicrobial humoral response [GO:0019730]; cell adhesion [GO:0007155]; defense response [GO:0006952]; defense response to fungus [GO:0050832]; defense response to Gram-positive bacterium [GO:0050830]; defense response to oomycetes [GO:0002229]; dorsal/ventral axis specification [GO:0009950]; embryonic pattern specification [GO:0009880]; heart development [GO:0007507]; hemocyte proliferation [GO:0035172]; hemopoiesis [GO:0030097]; immune response [GO:0006955]; innate immune response [GO:0045087]; larval somatic muscle development [GO:0007526]; mitotic cytokinesis [GO:0000281]; positive regulation of antibacterial peptide biosynthetic process [GO:0006963]; positive regulation of antifungal peptide biosynthetic process [GO:0006967]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of embryonic pattern specification [GO:1902875]; regulation of hemocyte differentiation [GO:0045610]; regulation of melanization defense response [GO:0035007]; response to bacterium [GO:0009617]; response to fungus [GO:0009620]; synapse assembly [GO:0007416]; synaptic target inhibition [GO:0016201]; Toll signaling pathway [GO:0008063]; zygotic specification of dorsal/ventral axis [GO:0007352]"
1,"9","CHOYP_AAEL_AAEL002467.1.2|m.47358",0,0,0,0,0,0,0,0,0.5,0,2.5,0,0,0,1.5,0.5714285714,0.9422075684,"1.6488632448",0.887755102,0,"#VALUE!","1.1736028537","1.5586185851",2.5,0,2.5,0,2.5,4,"0","1.6666666667",0.625,0.375,0.25,2.5,1.5,0.0473765249,"low_abundance","low_variance","low_abundance-low_variance","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
1,"9","CHOYP_AAEL_AAEL006988.1.1|m.49733",0,0,0.5,0,0,0,0,0,0.5,0,0,0,1,0,0.5,0.2142857143,0.3642156795,"1.6996731712",0.1326530612,0,"#VALUE!","2.3609467456","1.7598154411",1,0,1,0,1,1.5,"0","0",0,0.375,-0.375,0,1,0.0177661968,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AAEL_AAEL006988.1.1|m.49733","Q91857","TAF6_XENLA","54.92","508","212","5","9","502","5","509","0","563","1","Q91857","TAF6_XENLA","reviewed","Transcription initiation factor TFIID subunit 6 (xTAF6) (Transcription initiation factor TFIID 60 kDa subunit) (TAF(II)60) (TAFII-60) (TAFII60) (Transcription initiation factor TFIID 70 kDa subunit) (TAF(II)70) (TAFII-70) (TAFII70)","taf6","Xenopus laevis (African clawed frog)","618","DNA-templated transcription, initiation [GO:0006352]; regulation of sequence-specific DNA binding transcription factor activity [GO:0051090]","GO:0006352; GO:0051090; GO:0071339","","","","PF02969;PF07571;","MLL1 complex [GO:0071339]; DNA-templated transcription, initiation [GO:0006352]; regulation of sequence-specific DNA binding transcription factor activity [GO:0051090]"
1,"3","CHOYP_AAEL_AAEL007437.1.1|m.29443",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AAEL_AAEL007437.1.1|m.29443","P86948","MP_PINMA","44.44","108","53","1","1","101","1","108","2.00E-16","77","1","P86948","MP_PINMA","reviewed","Mantle protein (MP)","","Pinctada maxima (Silver-lipped pearl oyster) (White-lipped pearl oyster)","260","","GO:0005576","","","","","extracellular region [GO:0005576]"
1,"3","CHOYP_AAEL_AAEL007549.1.1|m.13827",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#DIV/0!",0,0,"#VALUE!","#DIV/0!","Err:502",0,0,0,0,0,0,"#DIV/0!","#DIV/0!",0,0,0,0,0,0,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AAEL_AAEL007549.1.1|m.13827","Q9D9G2","PEBP4_MOUSE","41.22","148","78","6","44","188","82","223","2.00E-22","95.5","1","Q9D9G2","PEBP4_MOUSE","reviewed","Phosphatidylethanolamine-binding protein 4 (PEBP-4)","Pebp4","Mus musculus (Mouse)","242","","GO:0005764; GO:0070062","","","","PF01161;","extracellular exosome [GO:0070062]; lysosome [GO:0005764]"
1,"9","CHOYP_AAEL_AAEL010626.1.1|m.52019",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0714285714,0.1749635531,"2.4494897428",0.0306122449,0,"#VALUE!","7","2.6457513111",0.5,0,0.5,0,0.5,0.5,"#DIV/0!","#DIV/0!",0.125,0,0.125,0.5,0,0.0059220656,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AAEL_AAEL010626.1.1|m.52019","P56719","OX2R_RAT","27.46","284","175","13","4","268","16","287","1.00E-11","70.5","1","P56719","OX2R_RAT","reviewed","Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2)","Hcrtr2","Rattus norvegicus (Rat)","460","cellular response to hormone stimulus [GO:0032870]; circadian sleep/wake cycle process [GO:0022410]; feeding behavior [GO:0007631]; G-protein coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; phospholipase C-activating G-protein coupled receptor signaling pathway [GO:0007200]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of circadian sleep/wake cycle, wakefulness [GO:0010840]; regulation of cytosolic calcium ion concentration [GO:0051480]; response to peptide [GO:1901652]","GO:0004930; GO:0005887; GO:0007186; GO:0007200; GO:0007218; GO:0007631; GO:0010840; GO:0016499; GO:0017046; GO:0022410; GO:0032870; GO:0045187; GO:0051480; GO:1901652","","","","PF00001;PF03827;","integral component of plasma membrane [GO:0005887]; G-protein coupled receptor activity [GO:0004930]; orexin receptor activity [GO:0016499]; peptide hormone binding [GO:0017046]; cellular response to hormone stimulus [GO:0032870]; circadian sleep/wake cycle process [GO:0022410]; feeding behavior [GO:0007631]; G-protein coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; phospholipase C-activating G-protein coupled receptor signaling pathway [GO:0007200]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of circadian sleep/wake cycle, wakefulness [GO:0010840]; regulation of cytosolic calcium ion concentration [GO:0051480]; response to peptide [GO:1901652]"
1,"9","CHOYP_AAEL_AAEL013229.2.2|m.57593",0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0.2142857143,0.5248906592,"2.4494897428",0.2755102041,0,"#VALUE!","7","2.6457513111",1.5,0,1.5,0,1.5,1.5,"#DIV/0!","#DIV/0!",0,0.375,-0.375,0,1.5,0.0177661968,"low_abundance","low_variance","low_abundance-low_variance","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
1,"3","CHOYP_AAEL_AAEL013635.1.1|m.54371",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.1428571429,0.2258769757,"1.5811388301",0.0510204082,0,"#VALUE!","-0.84","1.2296340919",0.5,0,0.5,0,0.5,1,"#DIV/0!","#DIV/0!",0,0.25,-0.25,0,0.5,0.0118441312,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AAEL_AAEL013635.1.1|m.54371","Q3SWY8","ZUFSP_BOVIN","43.19","382","187","8","427","785","194","568","1.00E-92","308","1","Q3SWY8","ZUFSP_BOVIN","reviewed","Zinc finger with UFM1-specific peptidase domain protein","ZUFSP","Bos taurus (Bovine)","579","","GO:0046872","","","","PF07910;","metal ion binding [GO:0046872]"
1,"3","CHOYP_AASI_1435.2.35|m.17918",0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0.0714285714,0.1749635531,"2.4494897428",0.0306122449,0,"#VALUE!","7","2.6457513111",0.5,0,0.5,0,0.5,0.5,"#DIV/0!","#DIV/0!",0.125,0.125,0,0.5,0.5,0.0059220656,"low_abundance","low_variance","low_abundance-low_variance","CHOYP_AASI_1435.2.35|m.17918","Q5UPE3","YL062_MIMIV","28.02","232","151","8","213","444","31","246","4.00E-17","84.3","1","Q5UPE3","YL062_MIMIV","reviewed","Putative ankyrin repeat protein L62","MIMI_L62","Acanthamoeba polyphaga mimivirus (APMV)","252","","","","","","PF12796;",""
