Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0007015~actin filament organization	6	42.857142857142854	5.632371333254234E-6	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	128	4697	18.34765625	0.004815324796592413	0.004815324796592413	0.008723512797470523
GOTERM_BP_ALL	GO:0030036~actin cytoskeleton organization	6	42.857142857142854	5.235508020335387E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	202	4697	11.626237623762377	0.04387773162325803	0.022184951856056734	0.08106100066584965
GOTERM_BP_ALL	GO:0030029~actin filament-based process	6	42.857142857142854	8.797289950019294E-5	Q9NRC6, Q8WZ42, P13395, P21333, P02549, Q9VEN1	12	225	4697	10.437777777777777	0.0726239120533424	0.02481885007022777	0.13617268172994024
GOTERM_BP_ALL	GO:0007010~cytoskeleton organization	7	50.0	1.330058182373249E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	409	4697	6.699062754686227	0.10773630447249616	0.028096142863939244	0.20581170389158965
GOTERM_BP_ALL	GO:0040011~locomotion	7	50.0	1.4242927170883595E-4	Q9NRC6, Q23551, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	414	4697	6.618156199677939	0.11491410242084033	0.024118501932048564	0.2203784080472282
GOTERM_BP_ALL	GO:0032989~cellular component morphogenesis	7	50.0	2.3022648760127887E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	451	4697	6.075203252032521	0.17907770080887953	0.032352879022374825	0.3559991309986965
GOTERM_BP_ALL	GO:0030030~cell projection organization	7	50.0	3.2205663466222553E-4	Q9NRC6, P13395, P21333, Q2PZL6, Q8TE73, P02549, Q9VEN1	12	479	4697	5.7200765483646485	0.2412227247733817	0.038667834679954494	0.4976650287754847
GOTERM_BP_ALL	GO:0006928~movement of cell or subcellular component	7	50.0	3.451071538150631E-4	Q9NRC6, Q8WZ42, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	485	4697	5.649312714776633	0.2560696591804018	0.03630072126459993	0.5331953532351164
GOTERM_BP_ALL	GO:0048858~cell projection morphogenesis	6	42.857142857142854	3.9632281038033326E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	309	4697	7.60032362459547	0.2880274854944309	0.03704270990920222	0.6120972557873583
GOTERM_BP_ALL	GO:0032990~cell part morphogenesis	6	42.857142857142854	4.401580857558119E-4	Q9NRC6, P13395, P21333, Q8TE73, P02549, Q9VEN1	12	316	4697	7.431962025316456	0.3142886559535507	0.03702694910499715	0.6795825739822514
