"","Protein.ID","Uniprot","Protein.names","fc5"
"17","CHOYP_BRAFLDRAFT_221898.1.2|m.28353","Q68CZ1","Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)",-2.25985100456466
"39","CHOYP_DGRI_GH20300.1.1|m.57587","Q63ZH8","Protein FAM136A",-2
"54","CHOYP_GGPPS.1.1|m.12124","O95749","Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)",-2.70951129135145
"130","CHOYP_LOC578781.1.5|m.2353","O95425","Supervillin (Archvillin) (p205/p250)",-3.0896936467371
"144","CHOYP_MCES.1.2|m.15348","Q5U2U7","mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase)",-2
"192","CHOYP_TRI56.4.4|m.61739","P29590","Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19)",-2.70951129135145
"196","CHOYP_UBR5.1.1|m.44200","Q80TP3","E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog)",-2.70951129135145
"245","CHOYP_CLEC17A.1.1|m.28486","Q6ZS10","C-type lectin domain family 17, member A (Prolectin)",-3.0896936467371
"260","CHOYP_EF1A.3.4|m.63413","Q5RKI1","Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)",-2.37109057361212
"332","CHOYP_LOC585158.1.2|m.18137","O14095","Thioredoxin domain-containing protein plp1 (Phosducin-like protein 1)",-2
"342","CHOYP_LR16A.1.3|m.9037","Q6F5E8","Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)",-2.32192809488736
"408","CHOYP_BRAFLDRAFT_124637.1.1|m.26435","Q68FK8","ATP-dependent RNA helicase A-like protein (EC 3.6.4.13) (DEAH box protein 9) (Nuclear DNA helicase II) (NDH II)",-2.25985100456466
"419","CHOYP_BRAFLDRAFT_74594.1.3|m.1187","Q6GMV2","SET and MYND domain-containing protein 5 (EC 2.1.1.-) (Protein NN8-4AG) (Retinoic acid-induced protein 15)",-2.25985100456466
"467","CHOYP_LOC100366428.1.1|m.3740","Q504A5","Probable thiopurine S-methyltransferase (Thiopurine methyltransferase) (EC 2.1.1.67)",-3.0896936467371
"515","CHOYP_LSM4.1.3|m.2601","Q9QXA5","U6 snRNA-associated Sm-like protein LSm4",-2.16992500144231
